index,sid,text,polarity,file,text_original
27,rev-28,متاسفانه عکس‌های گرفته شده با دوربین این تبلت از کیفیت رضایت بخشی برخوردار نیستند.,-1,data/main/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,متاسفانه عکس‌های گرفته شده با دوربین این تبلت از کیفیت رضایت بخشی برخوردار نیستند.
0,gr-11-1,عالیه,2,data/main/HP LaserJet P1102.xml,عاليه
49,rev-50,در ضمن، یک دوربین 2 مگاپیکسلی نیز برای انجام مکالمات تصویری وجود دارد که برای این منظور بسیار مناسب و با کیفیت است.,2,data/main/Samsung I9082 Galaxy Grand Duos.xml,در ضمن، یک دوربین 2 مگاپیکسلی نیز برای انجام مکالمات تصویری وجود دارد که برای این منظور بسیار مناسب و با کیفیت است.
2,gr-1-3,واقعا عالیه,2,data/main/Samsung I9082 Galaxy Grand Duos.xml,واقعا عاليه
0,gr-27-1,عالیه,2,data/main/Samsung I9082 Galaxy Grand Duos.xml,عاليه 
10,rev-11,اما بعد از اینکه مدتی با آن کار می‌کنید، می‌بینید که آن طور هم که قبلا به نظر می‌آمد نیست و حس خوبی با آن خواهید داشت.,1,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml,اما بعد از اینکه مدتی با آن کار می‌کنید،  می‌بینید که آن طور هم که قبلا به نظر می‌آمد نیست و حس خوبی با آن خواهید داشت.
19,rev-20,حساسیت لمسی خود نمایشگر هم کاملا عالیست.,2,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml,حساسیت لمسی خود نمایشگر هم کاملا عالیست.
35,rev-36,روشنایی نمایشگر به وسیله‌ی سنسور سنجش نور محیطی می‌تواند به صورت خودکار تنظیم شود و این کار تا جایی که ما دیدیم کاملا درست انجام می‌گیرد.,1,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml,روشنایی نمایشگر به وسیله‌ی سنسور سنجش نور محیطی می‌تواند به صورت خودکار تنظیم شود و این کار تا جایی که ما دیدیم کاملا درست انجام می‌گیرد.
64,rev-65,عمل Pinch too Zoom که با دو انگشت صورت می‌گیرد، کاملا بدون خطاست.,1,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml,عمل Pinch too Zoom که با دو انگشت صورت می‌گیرد،  کاملا بدون خطاست.
66,rev-67,این مرورگر از Adobe Flash هم پشتیبانی می‌کند و محتوای آن از قبیل ویدیو و گرافیک نیز کاملا عالی اجرا می‌شود.,2,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml,این مرورگر از Adobe Flash هم پشتیبانی می‌کند و محتوای آن از قبیل ویدیو و گرافیک نیز کاملا عالی اجرا می‌شود.
1,gr-24-2,واقعا محشره.,2,data/main/Western Digital Portable My Passport - 1TB.xml,واقعا محشره.
88,-,طراحی و ساخت اولین بار که این گوشی را دیدیم به واقع متعجب شدیم.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,طراحی و ساخت اولین بار که این گوشی را دیدیم به واقع متعجب شدیم.
89,-,علت اصلی این تعجب، ابعاد عجیب و منحصر به فرد این گوشی بود.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,علت اصلی این تعجب،  ابعاد عجیب و منحصر به فرد این گوشی بود.
90,-,با اینکه سامسونگ با تولید گوشی‌های سری Note قصد داشت یک دستگاه مابین گوشی و تبلت ها را تولید نماید، اما در واقع این LG است که با تولید Optimus VU به این هدف نائل گشته است.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,با اینکه سامسونگ با تولید گوشی‌های سری Note قصد داشت یک دستگاه مابین گوشی و تبلت ها را تولید نماید،  اما در واقع این LG است که با تولید Optimus VU به این هدف نائل گشته است.
91,-,در واقع، این گوشی شباهت زیادی به تبلت ها دارد، چرا که طراحی آن به گونه ایست که با عرض زیاد خود، در واقع یکی از عریض‌ترین گوشی‌های موجود در جهان به شمار می‌رود.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,در واقع، این گوشی شباهت زیادی به تبلت ها دارد، چرا که طراحی آن به گونه ایست که با عرض زیاد خود، در واقع یکی از عریض‌ترین گوشی‌های موجود در جهان به شمار می‌رود.
92,-,اما به همان نسبت که ما از دیدن آن متعجب شدیم، شاید دیگران هم با دیدن این گوشی در کنار گوش افراد در حال مکالمه متعجب گردند و تصور نمایند که شاید یک تبلت با قابلیت مکالمه در دست شخص دیده‌اند.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,اما به همان نسبت که ما از دیدن آن متعجب شدیم،  شاید دیگران هم با دیدن این گوشی در کنار گوش افراد در حال مکالمه متعجب گردند و تصور نمایند که شاید یک تبلت با قابلیت مکالمه در دست شخص دیده‌اند.
93,-,اگر در حالت خوش‌بینانه بتوانیم بگوییم که افراد دارای دست‌های بزرگ قادر خواهند بود با گلکسی نوت با یک دست شماره گیری نمایند، اما به واقع حتی برای همان افراد هم ما تصوری مبنی بر امکان کار و شماره گیری با یک دست با Optimus VU را نداریم.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,اگر در حالت خوش‌بینانه بتوانیم بگوییم که افراد دارای دست‌های بزرگ قادر خواهند بود با گلکسی نوت با یک دست شماره گیری نمایند، اما به واقع حتی برای همان افراد هم ما تصوری مبنی بر امکان کار و شماره گیری با یک دست با Optimus VU را نداریم.
94,-,پهنای این گوشی کاملا در تضاد با اعتقاد اپل مبنی بر سایز 3.5 الی 4 اینچ استاندارد صفحه نمایش برای کار با یک دست است .,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,پهنای این گوشی کاملاً در تضاد با اعتقاد اپل مبنی بر سایز 3.5 الی 4 اینچ استاندارد صفحه نمایش برای کار با یک دست است .
95,-,در ضمن، برای حمل و نقل این گوشی هم نمی‌توان بر روی جیب‌های شلوار جین حساب کرد.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,در ضمن، برای حمل و نقل این گوشی هم نمی‌توان بر روی جیب‌های شلوار جین حساب کرد.
96,-,اما اگر بزرگی این گوشی یک نکته منفی برای شما محسوب نمی‌گردد باید بگوییم که سبکی و باریکی آن بسیار کاربردی و خوش‌آیند است.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,اما اگر بزرگی این گوشی یک نکته منفی برای شما محسوب نمی‌گردد باید بگوییم که سبکی و باریکی آن بسیار کاربردی و خوش‌آیند است.
97,-,قاب پشتی این گوشی با اینکه از جنس پلاستیک است، اما به علت بافت موجود بر روی آن، علاوه بر جلوه خوبی که به گوشی بخشیده است، از لیز خوردن آن از دست نیز جلوگیری می‌نماید.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,قاب پشتی این گوشی با اینکه از جنس پلاستیک است،  اما به علت بافت موجود بر روی آن،  علاوه بر جلوه خوبی که به گوشی بخشیده است،  از لیز خوردن آن از دست نیز جلوگیری می‌نماید.
98,-,اما در کنار همه این‌ها، حالت فلزی قاب دور بدنه و البته کلید های استیل موجود در قاب، بر زیبایی گوشی افزوده‌اند.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,اما در کنار همه این‌ها، حالت فلزی قاب دور بدنه و البته کلید های استیل موجود در قاب، بر زیبایی گوشی افزوده‌اند.
99,-,در لبه بالایی گوشی، کلید پاور به همراه درگاه microUSB همراه با درب کشویی فلزی و کلید انحصاری Quick memo و البته جک 3.5 میلی متری صدا قرار گرفته‌اند.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,در لبه بالایی گوشی،  کلید پاور به همراه درگاه microUSB همراه با درب کشویی فلزی و کلید انحصاری Quick memo و البته جک 3.5 میلی متری صدا قرار گرفته‌اند.
100,-,در لبه سمت چپ هم شکاف سیم کارت وجود دارد که البته توسط درپوشی مخفی گردیده، و نهایتا کلیدهای کنترل صدا نیز در سمت راست گوشی تعبیه گردیده‌اند.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,در لبه سمت چپ هم شکاف سیم کارت وجود دارد که البته توسط درپوشی مخفی گردیده،  و نهایتا کلیدهای کنترل صدا نیز در سمت راست گوشی تعبیه گردیده‌اند.
101,-,بر روی قاب پشتی گوشی هم دوربین به همراه فلاش LED محصور در یک قسمت فلزی به همراه بلندگو و یک لوگوی LG به چشم می‌خورند که منظره خوبی را برای قاب پشتی گوشی به وجود آورده‌اند.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,بر روی قاب پشتی گوشی هم دوربین به همراه فلاش LED محصور در یک قسمت فلزی به همراه بلندگو و یک لوگوی LG به چشم می‌خورند که منظره خوبی را برای قاب پشتی گوشی به وجود آورده‌اند.
102,-,در زیر صفحه نمایش هم 4 کلید کنترلی خازنی وجود دارند.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,در زیر صفحه نمایش هم 4 کلید کنترلی خازنی وجود دارند.
103,-,در کل، از نظر کیفیت ساخت عملکرد ال جی در مورد این گوشی رضایت‌بخش بوده است و از لحاظ طراحی نیز، به نظر ما طراحی Optimus VU زیبا و شکیل است، با این حال نظر در مورد زیبا بودن یا نبودن این گوشی را به شما می‌سپاریم.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,در کل، از نظر کیفیت ساخت عملکرد ال جی در مورد این گوشی رضایت‌بخش بوده است و از لحاظ طراحی نیز، به نظر ما طراحی Optimus VU زیبا و شکیل است،  با این حال نظر در مورد زیبا بودن یا نبودن این گوشی را به شما می‌سپاریم.
104,-,صفحه نمایش صفحه نمایش این گوشی یک صفحه نمایش 5 اینچی از نوع IPS LCD می‌باشد.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,صفحه نمایش صفحه نمایش این گوشی یک صفحه نمایش 5 اینچی از نوع IPS LCD می‌باشد.
105,-,رزولوشن این صفحه نمایش 1024×768 پیکسل می‌باشد که همانند آیپد مینی است.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,رزولوشن این صفحه نمایش 1024×768 پیکسل می‌باشد که همانند آیپد مینی است.
106,-,روشنایی صفحه نمایش بسیار خوب و قابل تقدیر است، به طوری که به راحتی در زیر نور مستقیم آفتاب و در شرایط نوری قوی نیز می‌توان با آن کار کرد.,2,data/extra/LG Optimus Vu P895_Hosseini.xml,روشنایی صفحه نمایش بسیار خوب و قابل تقدیر است،  به طوری که به راحتی در زیر نور مستقیم آفتاب و در شرایط نوری قوی نیز می‌توان با آن کار کرد.
107,-,تراکم پیکسلی آن نیز 256ppi می‌باشد که باعث می‌گردد که پیکسل‌ها را حتی با دقت فراوان نیز مشاهده ننمایید.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,تراکم پیکسلی آن نیز 256ppi می‌باشد که باعث می‌گردد که پیکسل‌ها را حتی با دقت فراوان نیز مشاهده ننمایید.
108,-,اما عجیب است که این صفحه نمایش با وجود بهره بردن از پنل IPS، عملکرد متوسطی را در زوایای مختلف به نمایش می‌گذارد.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,اما عجیب است که این صفحه نمایش با وجود بهره بردن از پنل IPS،  عملکرد متوسطی را در زوایای مختلف به نمایش می‌گذارد.
109,-,اما رزولوشن این صفحه نمایش نسبت تصویر 4:3 را ارائه می‌نماید.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,اما رزولوشن این صفحه نمایش نسبت تصویر 4:3 را ارائه می‌نماید.
110,-,با وجود این نسبت تصویر، در هنگام خواندن متون و مرورگری اینترنت لذت فراوانی خواهید برد.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,با وجود این نسبت تصویر، در هنگام خواندن متون و مرورگری اینترنت لذت فراوانی خواهید برد.
111,-,اما به واقع برای تماشای ویدئو، چندان مناسب نمی‌باشد.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,اما به واقع برای تماشای ویدئو، چندان مناسب نمی‌باشد.
112,-,ویدئو یا بسیار کشیده می‌شود و ابعاد نا مانوسی پیدا می‌نماید، و یا اینکه باید سیاهی‌های زیادی را در بالا و پایین صفحه تحمل نمایید.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,ویدئو یا بسیار کشیده می‌شود و ابعاد نا مأنوسی پیدا می‌نماید،  و یا اینکه باید سیاهی‌های زیادی را در بالا و پایین صفحه تحمل نمایید.
113,-,اما در مجموع، صفحه نمایش Optimus VU نیز عملکرد مناسبی را داراست.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,اما در مجموع، صفحه نمایش Optimus VU نیز عملکرد مناسبی را داراست.
114,-,قلم Rubberdium همراه با Optimus VU، یک قلم نیز ارائه گردیده که ال جی آن‌را Rubberdium نامیده است.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,قلم Rubberdium همراه با Optimus VU،  یک قلم نیز ارائه گردیده که ال جی آن‌را Rubberdium نامیده است.
115,-,این قلم نه از نظر ظاهری و نه از لحاظ کارایی، شباهت زیادی به قلم Note های سامسونگ ندارد و بیشتر می‌توان آن‌را یک قلم کمکی نامید که در کار با گوشی به کاربر کمک می‌نماید اما قابلیت‌های فوق‌العاده‌ای ندارد.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,این قلم نه از نظر ظاهری و نه از لحاظ کارایی، شباهت زیادی به قلم Note های سامسونگ ندارد و بیشتر می‌توان آن‌را یک قلم کمکی نامید که در کار با گوشی به کاربر کمک می‌نماید اما قابلیت‌های فوق‌العاده‌ای ندارد.
116,-,بیشترین کاربرد این قلم در هنگام کار با برنامه Memo می‌باشد.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,بیشترین کاربرد این قلم در هنگام کار با برنامه Memo می‌باشد.
117,-,جایی که یک دفتر چه یادداشت به صورت پیش فرض قرار دارد که می‌توان در آن هر چیزی را به هر شکلی که دوست دارید ثبت نمایید.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,جایی که یک دفتر چه یادداشت به صورت پیش فرض قرار دارد که می‌توان در آن هر چیزی را به هر شکلی که دوست دارید ثبت نمایید.
118,-,اما یک نکته منفی در مورد این گوشی، عدم وجود یک شکاف برای قرار گیری قلم در گوشی است که باعث می‌گردد همواره نگران گم شدن قلم باشید.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,اما یک نکته منفی در مورد این گوشی،  عدم وجود یک شکاف برای قرار گیری قلم در گوشی است که باعث می‌گردد همواره نگران گم شدن قلم باشید.
119,-,سخت افزار Optimus VU از سخت‌افزار قدرتمندی برخوردار است.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,سخت افزار Optimus VU از سخت‌افزار قدرتمندی برخوردار است.
120,-,چیپ Nvidia Tegra3 به همراه پردازنده چهار هسته ای با فرکانس 1.5 گیگاهرتز و یک پردازشگر گرافیکی ULP GeForce، اجزای تشکیل دهنده سخت افزار این گوشی می‌باشند که به همراه یک گیگابایت حافظه رم، عملکرد بسیار خوب و روانی را به نمایش می‌گذارند.,2,data/extra/LG Optimus Vu P895_Hosseini.xml,چیپ Nvidia Tegra3 به همراه پردازنده چهار هسته ای با فرکانس 1.5 گیگاهرتز و یک پردازشگر گرافیکی ULP GeForce،  اجزای تشکیل دهنده سخت افزار این گوشی می‌باشند که به همراه یک گیگابایت حافظه رم، عملکرد بسیار خوب و روانی را به نمایش می‌گذارند.
121,-,این دستگاه دارای 32 گیگابایت حافظه داخلی است که متاسفانه با عدم پشتیبانی آن از کارت حافظه جانبی، باید به همین مقدار قناعت نمود.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,این دستگاه دارای 32 گیگابایت حافظه داخلی است که متأسفانه با عدم پشتیبانی آن از کارت حافظه جانبی،  باید به همین مقدار قناعت نمود.
122,-,با قابلیت پشتیبانی این گوشی از 3G، GPRS، Edge و Wi-Fi، دسترسی به اینترنت از روش‌های گوناگون امکان‌پذیر خواهد بود.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,با قابلیت پشتیبانی این گوشی از 3G،  GPRS،  Edge و Wi-Fi،  دسترسی به اینترنت از روش‌های گوناگون امکان‌پذیر خواهد بود.
123,-,همچنین، ال جی بر روی این گوشی قابلیت DLNA و NFC را نیز قرار داده که در مورد NFC در بخش نرم افزار بیشتر توضیح خواهیم داد.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,همچنین،  ال جی بر روی این گوشی قابلیت DLNA و NFC را نیز قرار داده که در مورد NFC در بخش نرم افزار بیشتر توضیح خواهیم داد.
124,-,در کل، عملکرد سخت‌افزاری این گوشی بسیار خوب است و در هنگام مرورگری اینترنت، بازی و یا حرکت در بین منوها، کاملا قدرتمند بودن آن را متوجه خواهید شد.,2,data/extra/LG Optimus Vu P895_Hosseini.xml,در کل، عملکرد سخت‌افزاری این گوشی بسیار خوب است و در هنگام مرورگری اینترنت،  بازی و یا حرکت در بین منوها،  کاملاً قدرتمند بودن آن را متوجه خواهید شد.
125,-,نرم افزار نسخه 4 سیستم‌عامل قدرتمند و محبوب اندروید، سیستم عامل منتخب ال جی برای این گوشی می‌باشد.,2,data/extra/LG Optimus Vu P895_Hosseini.xml,نرم افزار نسخه 4 سیستم‌عامل قدرتمند و محبوب اندروید، سیستم عامل منتخب ال جی برای این گوشی می‌باشد.
126,-,با وجود این سخت‌افزار قدرتمند و البته نسخه 4 سیستم عامل اندروید، می‌توان گفت که تقریبا همگی برنامه های موجود برای اندروید را می‌توان به راحتی بر روی Optimus VU نصب و اجرا نمود.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,با وجود این سخت‌افزار قدرتمند و البته نسخه 4 سیستم عامل اندروید، می‌توان گفت که تقریبا همگی برنامه های موجود برای اندروید را می‌توان به راحتی بر روی Optimus VU نصب و اجرا نمود.
127,-,باز کردن قفل صفحه نمایش به زیبایی هر چه تمام‌تر و با کشیدن انگشت از وسط یک دایره به طرفین صورت می‌پذیرد که کاملا منحصر به ال جی است.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,باز کردن قفل صفحه نمایش به زیبایی هر چه تمام‌تر و با کشیدن انگشت از وسط یک دایره به طرفین صورت می‌پذیرد که کاملا منحصر به ال جی است.
128,-,در صفحه اصلی، 5 آیکون دفتر تلفن، تماس‌ها، نوت بوک، پیام‌ها و برنامه‌ها قرار دارند.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,در صفحه اصلی،  5 آیکون دفتر تلفن،  تماس‌ها،  نوت بوک،  پیام‌ها و برنامه‌ها قرار دارند.
129,-,همچنین 4 میانبر قابل تغییر نیز وجود دارند که می‌توان آن‌ها را به هر برنامه ای تخصیص داد.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,همچنین 4 میانبر قابل تغییر نیز وجود دارند که می‌توان آن‌ها را به هر برنامه ای تخصیص داد.
130,-,از خوبی‌های گوشی‌های ساخت ال جی می‌توان به وجود ویجت‌های متنوع و کاربردی موجود در گوشی‌های ساخت این کمپانی اشاره نمود.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,از خوبی‌های گوشی‌های ساخت ال جی می‌توان به وجود ویجت‌های متنوع و کاربردی موجود در گوشی‌های ساخت این کمپانی اشاره نمود.
131,-,در این گوشی هم ویجت‌های متنوعی وجود دارد.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,در این گوشی هم ویجت‌های متنوعی وجود دارد.
132,-,به صورت پیش فرض بیش از 40 برنامه بر روی این گوشی وجود دارد که از مهم‌ترین آن‌ها می‌توان به App Manager، Backup، Google Chrome، File Share، Gmail، LG Tag Plus، Maps ، QuickMemo، PolarisOffice، VideoWiz و Weather اشاره نمود.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,به صورت پیش فرض بیش از 40 برنامه بر روی این گوشی وجود دارد که از مهم‌ترین آن‌ها می‌توان به App Manager،  Backup،  Google Chrome،  File Share،  Gmail،   LG Tag Plus،  Maps ،  QuickMemo،  PolarisOffice،  VideoWiz و Weather اشاره نمود.
133,-,اما یکی از بهترین قابلیت‌های این گوشی، وجود NFC بر روی آن است.,2,data/extra/LG Optimus Vu P895_Hosseini.xml,اما یکی از بهترین قابلیت‌های این گوشی،  وجود NFC بر روی آن است.
134,-,ال جی با قرار دادن 3 تگ NFC در داخل جعبه این گوشی، امکان شخصی سازی آن‌ها را به کاربران داده است.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,ال جی با قرار دادن 3 تگ NFC در داخل جعبه این گوشی، امکان شخصی سازی آن‌ها را به کاربران داده است.
135,-,به این صورت که کافیست آن‌ها را در محل کار، ماشین و یا منزل خود بچسبانید و تنظیمات هر کدام را نیز مطابق میل خود انجام دهید و مثلا برای محل کار تنظیمات مربوط به Wi-Fi، Data Network، میزان صدا، Wi-Fi hotspot و بلوتوث و برای ماشین تنظیمات مربوط به مسیر یاب، مقصد، بلوتوث و موزیک را شخصی سازی نمود.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,به این صورت که کافیست آن‌ها را در محل کار،  ماشین و یا منزل خود بچسبانید و تنظیمات هر کدام را نیز مطابق میل خود انجام دهید و مثلا برای محل کار تنظیمات مربوط به Wi-Fi،  Data Network،  میزان صدا،  Wi-Fi hotspot و بلوتوث و برای ماشین تنظیمات مربوط به مسیر یاب،  مقصد،  بلوتوث و موزیک را شخصی سازی نمود.
136,-,بدین ترتیب به محض ورود به ماشین یا محل کار و نزدیک کردن گوشی به چیپ NFC موجود، کلیه تنظیمات گوشی مطابق میل شما تغییر خواهد کرد.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,بدین ترتیب به محض ورود به ماشین یا محل کار و نزدیک کردن گوشی به چیپ NFC موجود،  کلیه تنظیمات گوشی مطابق میل شما تغییر خواهد کرد.
137,-,این یک امکان فوق‌العاده است که ال جی به کاربران Optimus VU هدیه داده است.,2,data/extra/LG Optimus Vu P895_Hosseini.xml,این یک امکان فوق‌العاده است که ال جی به کاربران Optimus VU هدیه داده است.
138,-,در کل، از نظر نرم افزاری نیز مشکل خاصی با این گوشی نخواهید داشت.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,در کل، از نظر نرم افزاری نیز مشکل خاصی با این گوشی نخواهید داشت.
139,-,فقط امیدواریم ال جی در مورد Optimus VU سنت شکنی نماید و نسخه 4.1 سیستم عامل اندروید را برای این گوشی دوست‌داشتنی ارائه کند.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,فقط امیدواریم ال جی در مورد Optimus VU سنت شکنی نماید و نسخه 4.1 سیستم عامل اندروید را برای این گوشی دوست‌داشتنی ارائه کند.
140,-,در ضمن، با وجود 32 گیگابایت حافظه داخلی، این گوشی یک مالتی مدیا پلیر نیز می‌باشد که می‌توان برای گوشی دادن به موسیقی روی آن حساب نمود.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,در ضمن، با وجود 32 گیگابایت حافظه داخلی، این گوشی یک مالتی مدیا پلیر نیز می‌باشد که می‌توان برای گوشی دادن به موسیقی روی آن حساب نمود.
141,-,البته پیشنهاد می‌کنیم که برای این کار، از هدفون استفاده نمایید، چرا که کیفیت بلند گو ها چندان رضایت‌بخش نیستند.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,البته پیشنهاد می‌کنیم که برای این کار،  از هدفون استفاده نمایید،  چرا که کیفیت بلند گو ها چندان رضایت‌بخش نیستند.
142,-,دوربین اما از نظر قابلیت عکاسی، ال‌جی برای این مدل چیزی کم نگذاشته است.,1,data/extra/LG Optimus Vu P895_Hosseini.xml,دوربین اما از نظر قابلیت عکاسی،  ال‌جی برای این مدل چیزی کم نگذاشته است.
143,-,دوربین اصلی این گوشی دارای یک سنسور 8 مگاپیکسلی می‌باشد که قابلیت فیلم برداری با کیفیت FullHD با سرعت 30 فریم بر ثانیه را نیز داراست.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,دوربین اصلی این گوشی دارای یک سنسور 8 مگاپیکسلی می‌باشد که قابلیت فیلم برداری با کیفیت FullHD با سرعت 30 فریم بر ثانیه را نیز داراست.
144,-,همچنین دقت عکس‌های گرفته شده 2448×3264 پیکسل می‌باشند.,0,data/extra/LG Optimus Vu P895_Hosseini.xml,همچنین دقت عکس‌های گرفته شده 2448×3264 پیکسل می‌باشند.
