dataset_index,text,actual_label,actual_label_name,predicted_label,predicted_label_name,label_distance,error_direction,character_count,word_count
7980,نویز بسیار کمی‌هم داره.,2,very_positive,-1,negative,3,predicted_more_negative,23,4
11409,اگر اهل نوشتن و خوندن به زبان انگلیسی باشد و صدالبته اس ام اس زدن با این زبان ، دیکشنری گوشی به همراه امکان نوشتن کلمات فقط با حرکت انگشت روی صفحه فوق العاده است(Gesture Typing) .,2,very_positive,-1,negative,3,predicted_more_negative,179,37
10694,این گوشی هم یه شاهکاره دیگه از سونیه.,2,very_positive,-1,negative,3,predicted_more_negative,37,8
9584,سلام دوستان این همه تبلیغات که از ایفون 5 شنیدیم هیچ کدوم درست از اب در نیومد مدلهای شیشه ای و لیزری و هزار تای دیگه این که با 4 اس فرقی نمیکنه فقط یه کم سیستمش رو ارتقا داده به نظرم سامسونگ گالکسی نوت و اس 3 از ایفون 5 بهترن مرسی دوستان,-2,very_negative,0,neutral,2,predicted_more_positive,237,54
7336,با این حال مثل دیگر نوت‌بوک‌ها، قسمتی که در زیر آن، درایو نوری قرار دادن خیلی راحت‌تر فرو می‌رود.,-2,very_negative,0,neutral,2,predicted_more_positive,97,19
7172,با سلام من یه یک هفته ای هست اینو گرفتم ولی یه مشکلی که خیلی نگرانم کرده اینه که زمان اتصال گوشی به استیشن یا همون داکت کانکشن خوب برقرار نمیشه و صفحه نمایش تب شروع به چشمک زدن میکنه لازم به ذکر هست که نمایندگیشم تلفن جواب نمیده,-2,very_negative,0,neutral,2,predicted_more_positive,228,49
6364,یکی از بهبودهای رخ داده در این صفحه نمایش این است که در نمایشگر گوشی‌های پیشین، رنگ‌ها غلظتی بیش از حد داشتند.,-1,negative,1,positive,2,predicted_more_positive,110,22
10814,واقعا از گوشی بالاتر است سیستم عامل فوق العاده کیفیت بسیار عالی و ظاهر زیبا اما واقعا قیمتش مناسب نیست با این قیمت به راحتی می شه یه گوشی یا حتی یه تبلت 7 اینچی اندرویدی خرید.,-1,negative,1,positive,2,predicted_more_positive,175,37
1709,هیچ برنامه جدیدی که برای نسخه جدید سیستم عامل اپل نسبت به نسخه پیشین یک برتری ایجاد نماید بر روی iOS 6 قرار داده نشده است.,-1,negative,1,positive,2,predicted_more_positive,122,26
11456,فکر کنم قیمتش از گلگسی اس 3 و وان ایکس پایین تر باشه,0,neutral,-2,very_negative,2,predicted_more_negative,52,13
2053,جدا امیدوارم بتونم بگیرمش، چون تا به حال در برابر iPod Touch و iPad مقاومت کردم!,0,neutral,-2,very_negative,2,predicted_more_negative,80,16
4664,من با گالکسی ای سی که تقریبا هم قیمتش بود مقایسه کردم باز هم اکسپریاری خیلی بیشتر می ارزه چون گالاگسی ای سی مشکلاتی داره مثل کیبورد اسمسش و.,0,neutral,2,very_positive,2,predicted_more_positive,140,29
7971,عکسهای بسیار با کیفیتی میشه با این دوربین گرفت.,0,neutral,2,very_positive,2,predicted_more_positive,47,9
9241,بزرگترین تغییری که در 650D نسبت به مدل های پیشین رخ داده، استفاده از سنسور تصویر Hybrid CMOS است.,0,neutral,2,very_positive,2,predicted_more_positive,97,19
4166,سرعت بالای cpu دوربین مکالمه ویدئویی خوب نصب مستقیم برنامه ها و بازی های بر روی SD کارت بازی های HD رو هم راحت اجرا میکنه اما معایب: دوربین گوشی با اینکه 5 مگاپیکسله اما زیاد چنگی به دل نمیزنه.,1,positive,-1,negative,2,predicted_more_negative,193,40
5488,21- یه مشکلی که داره اینه که یکی دو روز اول، وقتی به USB وصله، تاچش قاطی میکنه، ولی بعد از یکی دو روز درست میشه.,1,positive,-1,negative,2,predicted_more_negative,112,26
9601,با این اوصاف این گوشی همانند گذشته پیش بینی می شود هیولای بی رقیب بازار تلفن های همراه باشد و به همه علاقمندان توصیه می کنم کمی صبر کنند تا از نزدیک این گوشی با امکانات جدید بسنجند.,1,positive,-1,negative,2,predicted_more_negative,181,38
4532,"برخی از افراد ترجیح میدن یک گوشی با امکانات روز در ابعاد کوچک در عین حال زیبا برای استفاده روز مره داشته باشند به نظر من اکسپریا ری به دلایل زیر یک پیشنهاد ایده آل میتونه باشه:1- قابلیت ارتقا به جدید ترین ورژن از اندروید 42- صفحه نمایش بسیار با کیفیت با نمایش 300 پیکسل در یک اینچ که با دید انسان برابری می کند ( لازم به بیان هست که چشم ما 325 پیکسل در اینچ هست و این یعنی تکنولوژی سونی)3- کیفیت دوربین 8 مگاپیکسل با سنسور exmor r cmos که در دوربین های حرفه ای مورد استفاده قرار میگیره قابلیت تصویر برداری سه بعدی و نمایش آن و همچنین تصویر برداری پانوراما با همراهی فلش قوی led که پیشنهاد میشه در هنگام فلش زدن به دلیل قدرت بالا بهش نگاه نکنین که کوری زمانی میاره4- دوربین دوم با کیفیت 2 مگاپیکسل برای مکالمه تصویری5- کیفیت فیلم برداری hd 6- بدنه باریک و زیبا با ضخامت 9.4 mm و وزن 100g7- بالا ترین رزولوشن 845*480 به همراه موتور براویا سونی8- پردازنده قوی9- صفحه نمایش مولتی تاچ و کنترل لمسی حساس و حسگر شتاب سنج و مجاورت سنج، 10- صفحه نمایش ۳٫۳ اینچ لمسی با وضوح بسیار بالا و تفکیک ۱۶ میلیون رنگ11- مسیر یاب جی پی اس، ثبت موقعیت جغرافیایی به همراه تصویر، 12- ۳۰۰ مگابایت حافظه داخلی 13- شبکه بیسیم، رادیوی اف ام استریو، بلوتوث استریو14- پشتیبانی از گیم های hd و سنگین15- صفحه ضدخش، نسل ۳٫۵، پردازنده یک گیگاهرتز، قابلیت افزایش کارت حافظه16- پخش موسیقی MP4 (AAC), MP3, M4A, 3GPP, AMR, AMR-WB, WAV, RealAudio, iMelody, XMF, WMA 917- پخش فیلم MP4, 3GPP (H.",2,very_positive,0,neutral,2,predicted_more_negative,1355,267
942,اگر شما یک دانشجو باشید حتما می دانید که به دفعات برایتان پیش آمده که نیاز به گرفتن کپی و یا عکس از یک کتاب و یا جزوه داشته اید، مهندسین عمران معمولا نیاز دارند که نقشه های خود را همراه داشته باشند، وکلا همیشه مدارک زیادی را حمل می کنند و چندین مورد دیگر که در تمامی این ها یک پویشگرهای دستی می تواند به راحتی و در زمانی بسیار کوتاه از این مدارک ، نقشه ها و متون اسکن تهیه کرده و بر روی یک حافظه ذخیره کند و درمواقع مورد نیاز در اختیار شما قرار دهد.,2,very_positive,0,neutral,2,predicted_more_negative,449,99
5803,سلام بچه ها آندروید 4.1.2 جیلی بین نسخه نهایی برای این گوشی اومده که می تونید دانلود کنید  در نسخه جیلی بین همه این مشکلات برطرف شده یعنی عالی شده.,2,very_positive,0,neutral,2,predicted_more_negative,147,30
12892,ولی رو دوربینش اصلا حساب نکنید.,-2,very_negative,-1,negative,1,predicted_more_positive,31,6
9375,کلید‌های فیزیکی زیر صفحه نمایش خیلی سفت هستن و سرعت کار رو پایین میارن بخصوص اینکه صفحه لمسی خیلی حساسی داره و حین کار با اون بخوای از کلیدهای فیزیکی هم استفاده کنی، تضاد این دو تا خیلی اذیت میکنه!,-2,very_negative,-1,negative,1,predicted_more_positive,197,40
2569,نقد کالا: 1-اساسی ترین مشکل این دوربین وجود باتری قلمی به جای باتری یون لیتیوم استاندارد هست.,-2,very_negative,-1,negative,1,predicted_more_positive,93,17
7001,به نظر من گوشی های HTC دو تا مشکل بزرگ دارن 1:باتری ضعیف، 2:نداشتن OTG یا همان USB ON the go,-1,negative,-2,very_negative,1,predicted_more_negative,92,21
10497,اصلا کیفیت دوربین و رزولوشن تصویر راضیم نکرد.,-1,negative,-2,very_negative,1,predicted_more_negative,45,8
12605,باتری واقعا ضعیفی داره.,-1,negative,-2,very_negative,1,predicted_more_negative,23,4
10048,این دو در کنار هم باعث می شوند تا کارکردن با Sleekbook در فضاهای خارجی و در زیر تابش نور آفتاب، مشکل باشد.,-1,negative,0,neutral,1,predicted_more_positive,106,23
8902,فقط به نظرم باتری آن چنان قوی نیست !,-1,negative,0,neutral,1,predicted_more_positive,36,9
6114,هر چند با مقایسه دو دستگاه Xbox 360 Slim و Xbox 360 خواهید دید که این کنسول خیلی هم باریک تر نشده است (یا حداقل این باریک شدن خیلی به چشم نمی آید).,-1,negative,0,neutral,1,predicted_more_positive,147,33
2114,برای نصب نرم افزار هر چیزی بخوای نصب کنی باید از فیلتر اپل رد بشه یعنی از سایت اپل با نرم افزار iTunes امکان نصبش رو داری برای نصب برنامه باید اکانت iTunes رو بگیری.,0,neutral,-1,negative,1,predicted_more_negative,165,35
3067,در هفته اول به دلیل قرار گرفتن گوشی موبایلم روی این تبلت متوجه خش های ریز روی آن شدم.,0,neutral,-1,negative,1,predicted_more_negative,85,19
727,سوالی که برای من مطرحه اینه که آیا در بلند مدت استفاده از این لپ تاپ با برق بدون ارت میتونه مشکل ساز باشه یه نه.,0,neutral,-1,negative,1,predicted_more_negative,112,26
1261,تو منوی اینفوی گوشی حافظه داخلی را زده 1.4گیگابایت و در دسترس را 1.3,0,neutral,1,positive,1,predicted_more_positive,68,14
2219,در این مورد HTC هیچ تغییری را در گوشی جدید خود اعمال ننموده است.,0,neutral,1,positive,1,predicted_more_positive,64,14
12113,JVC GZ-MG335، در رنگ های قرمز، مشکی و نقره ای، تولید می گردد.,0,neutral,1,positive,1,predicted_more_positive,61,13
12993,در قسمت جلویی GZ-HD3 می‌توانید لنز 10 برابر Konica Minolta HD را ببینید که کلاهک لنز از آن محافظت می‌کند.,1,positive,0,neutral,1,predicted_more_negative,105,20
7468,همچنین نور دهی نیز از همین طریق قابل تنظیم است.,1,positive,0,neutral,1,predicted_more_negative,47,10
2647,به طوری که ماونت لنزی کاملا جدید و همچنین لنزهایی متفاوت برای آن ساخته شده اند.,1,positive,0,neutral,1,predicted_more_negative,79,16
4036,با تشکر از سایت بسیار عالی دیجی کالا که خیلی کمک به انتخاب بهترین‌ها می کنه,1,positive,2,very_positive,1,predicted_more_positive,75,16
7927,من این محصول را خریداری کردم کیفیت نمایشگر فوق‌العاده مطلوبی دارد.,1,positive,2,very_positive,1,predicted_more_positive,66,11
7684,واقعا به نسبت قیمتش تبلت عالیه.,1,positive,2,very_positive,1,predicted_more_positive,31,6
6900,هرجور بازی و برنامه ای که دلتون بخواد اجرامیکنه سرعت گوشی انقدر زیاده که تصورشم برای آدم مشکله.,2,very_positive,1,positive,1,predicted_more_negative,95,18
9464,توسط شتاب سنج موجود در آیپاد نانو- فوق العاده باتری که می توان به مدت یک شبانه روز (24 ساعت) بدون وقفه با آیپاد نانو موسیقی گوش کرد- پخش عمده ی فرمتهای موسیقی- به بازار با حافظه ی فلش 8 و 16 گیگابایتی (حافظه 8 گیگابایت آن تا 2000 عدد موسیقی می تواند ذخیره کند)- حمل و اتصال به لباس توسط گیره آن - گسترده ی رنگ- اکثر فرمتهای عکس- ساعت زمان شارژ کامل باتری- العاده کوچک، سبک و باریک,2,very_positive,1,positive,1,predicted_more_negative,380,80
11434,باطریه خوبی هم داره با توجه به پردازنده و رم عالیش.,2,very_positive,1,positive,1,predicted_more_negative,51,11
