file,sentence_count
data/extra/Canon PowerShot A3400 IS_Hosseini.xml,48
data/main/IBM Lenovo Essential G580-J.xml,47
data/extra/Samsung DV300F_Hosseini.xml,47
data/main/Samsung NP300E5V-A08AE.xml,46
data/main/HP LaserJet M1132.xml,46
data/extra/HTC One X Plus - 64GB.xml,46
data/extra/IBM Lenovo Essential G580-J_Hosseini.xml,45
data/extra/Asus N43SM-C_Hosseini.xml,45
data/extra/Gerdoo Software Pack 14.2013.xml,44
data/extra/Nikon Coolpix P7700_Hosseini.xml,44
data/extra/Canon CanoScan LiDe 110.xml,44
data/main/Sony S - 16GB.xml,43
data/extra/Sony S - 16GB_Hosseini.xml,43
data/extra/HTC Windows Phone 8X_Hosseini.xml,43
data/extra/HP ProBook 4540s-A_Hosseini.xml,42
data/extra/Asus VivoTab RT TF600T - 32GB.xml,42
data/extra/HTC One X - 16GB.xml,42
data/extra/JVC GZ-HD3.xml,42
data/extra/Sony HDR-CX190.xml,41
data/extra/Apple iPhone 5 - 16GB_Hosseini.xml,41
data/extra/Acer Aspire E1-531-B9602G50Maks_Hosseini.xml,40
data/extra/IBM Lenovo Essential G585-D.xml,40
data/main/Acer Aspire E1-531-B9602G50Maks.xml,40
data/extra/Fujifilm FinePix SL260.xml,40
data/extra/(Panasonic Lumix DMC-TZ18 (ZS8_Anvari.xml,39
data/main/Samsung LED 40ES6960.xml,38
data/extra/Asus Google Nexus 7 3G - 32GB.xml,37
data/extra/Sony Cyber-Shot DSC-HX10V.xml,37
data/extra/Sony HDR PJ710v_Hosseini.xml,36
data/extra/Sony Ericsson Xperia Ray_Hosseini.xml,36
data/main/Sony HDR PJ710v.xml,36
data/main/Nikon Coolpix P520.xml,36
data/main/LG Optimus True HD LTE P936.xml,35
data/extra/LG Optimus True HD LTE P936_Hosseini.xml,35
data/extra/(Canon IXUS 500 HS (ELPH 520 HS - IXY 3_Ahmadian.xml,35
data/extra/Samsung NX2000.xml,34
data/extra/Samsung LED 40ES6950.xml,34
data/extra/Huawei MediaPad 10 FHD - 16GB.xml,34
data/main/Samsung Plasma PS51E4950.xml,34
data/extra/Sony Cybershot WX170.xml,33
data/extra/Fujitsu Stylistic M532.xml,33
data/extra/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml,33
data/extra/Samsung Plasma PS51E4950_Hosseini.xml,33
data/main/Canon Legria HF R206.xml,32
data/extra/Canon PowerShot SX500 IS.xml,31
data/extra/Canon PowerShot SX160 IS.xml,31
data/main/GS-Pad GSP-X7.xml,31
data/extra/LG Optimus G E975.xml,31
data/main/Apple Ipod Shuffle.xml,30
data/main/Samsung ST68.xml,30
data/extra/Nikon Coolpix P520_Hosseini.xml,30
data/extra/Sony Xperia Tipo.xml,30
data/extra/Nokia Lumia 620.xml,29
data/extra/Nokia Asha 308.xml,29
data/extra/Nokia Asha 302_Hosseini.xml,29
data/extra/HP PhotoSmart D110A.xml,29
data/extra/Apple Ipod Touch 5th Generation - 64GB.xml,29
data/extra/(Canon Ixus 510 HS (PowerShot ELPH 530 HS.xml,28
data/extra/HP LaserJet M1132_Hosseini.xml,28
data/extra/Asus U57A.xml,28
data/extra/Sony HDR-XR160.xml,28
data/extra/HTC Desire SV_Hosseini.xml,28
data/extra/Panasonic Lumix DMC-G6_Hosseini.xml,28
data/main/Panasonic Lumix DMC-G6.xml,28
data/extra/IBM Lenovo ideapad Z500-A.xml,27
data/extra/Western Digital Portable My Passport - 1TB_Hosseini.xml,27
data/extra/Fujifilm Finepix HS25 EXR.xml,27
data/main/Canon CanoScan LiDe 100.xml,27
data/extra/Nikon Coolpix S30.xml,26
data/extra/Western Digital Portable My Passport - 1TB.xml,26
data/extra/Apple iPhone 4 - 16GB.xml,24
data/extra/Nikon Coolpix L610.xml,24
data/main/Sony Cyber-Shot DSC-W630.xml,24
data/extra/Canon CanoScan 5600F.xml,24
data/extra/HP Scanjet G2710.xml,23
data/extra/Sony Cyber-Shot DSC-HX30V.xml,23
data/main/JVC GZ-MG555.xml,23
data/extra/Apple MacBook Pro With Retina Display-B.xml,23
data/extra/Microsoft Xbox 360 Slim 250GB Console with Kinect_Hosseini.xml,23
data/main/Scanzee BQS030w.xml,23
data/extra/Samsung LED 55ES8880.xml,23
data/main/Canon Vixia HF M50.xml,22
data/extra/JVC GZ-MG335.xml,22
data/extra/GS-Pad GSP-X7_Hosseini.xml,22
data/extra/Sony Xperia Tablet Z - 32GB.xml,21
data/extra/Fujifilm FinePix JX510.xml,20
data/extra/Panasonic HDC-HS80.xml,20
data/extra/ADATA S007 - 4GB.xml,20
data/extra/Apple Ipod Shuffle_Hosseini.xml,20
data/extra/Fujifilm FinePix F660EXR.xml,20
data/extra/Sony HDR-XR550_Hosseini.xml,19
data/extra/Sony Xperia Ion_Hosseini.xml,19
data/extra/Nokia Asha 310.xml,19
data/extra/Samsung NP300E5X-A0A.xml,19
data/extra/Fujifilm FinePix S2980.xml,19
data/extra/Sony PlayStation 2.xml,18
data/extra/Sony PlayStation Vita.xml,18
data/extra/Sony Cyber-Shot DSC-W630_Hosseini.xml,17
data/extra/(Canon IXY 430F (IXUS 245 HS_Anvari.xml,17
data/extra/HP Laserjet Pro CM1415 FN Color Multifunction.xml,16
data/extra/ADATA Portable HD710 - 1TB_Hosseini.xml,16
data/extra/Samsung Galaxy S III I9305 - 16GB_Hosseini.xml,16
data/extra/Canon Vixia HF R30.xml,16
data/extra/JVC GZ-MG255.xml,15
data/extra/Sony NEX-3N_Ahmadian.xml,15
data/extra/Sony HDR-PJ600.xml,15
data/extra/(Panasonic Lumix DMC-FT3 (TS3.xml,14
data/main/Olympus SZ-14.xml,14
data/extra/Canon Legria HF M406.xml,14
data/extra/(Panasonic Lumix DMC-FT3 (TS3_Hosseini.xml,14
data/extra/Fujifilm FinePix AX550.xml,13
data/extra/LG LED 42LM66100.xml,13
data/extra/Fujifilm FinePix JV300.xml,13
data/extra/Apple MacBook Pro With Retina Display-B_Hosseini.xml,13
data/extra/Apple Ipod Nano 6th Generation - 8GB.xml,12
data/extra/Farassoo DVB-T FDR-211_Hosseini.xml,12
data/extra/Asus PadFone - 64GB.xml,12
data/extra/Samsung Galaxy Mega 6.3 I9200 - 8GB.xml,12
data/main/Farassoo DVB-T FDR-211.xml,12
data/extra/JVC GZ-MG555_Hosseini.xml,12
data/extra/Samsung NP300E5V-A08AE_Hosseini.xml,12
data/extra/Adata Dashdrive HV610 USB 3.0 - 1TB.xml,11
data/extra/Samsung Galaxy Tab 2 7.0 P3100 - 8GB.xml,11
data/extra/Asus PadFone 2 - 16GB.xml,11
data/extra/Casio Exilim EX-Z3000.xml,11
data/extra/Samsung LED 40ES6960_Hosseini.xml,11
data/extra/Samsung Galaxy Mega 6.3 I9200 - 16GB_Hosseini.xml,10
data/extra/IBM Lenovo Essential B590-C.xml,10
data/extra/Olympus VG-150.xml,10
data/extra/Olympus SZ-14_Hosseini.xml,10
data/extra/Casio Exilim EX-ZS6_Hosseini.xml,10
data/main/Samsung Galaxy Mega 6.3 I9200 - 16GB.xml,10
data/main/Casio Exilim EX-ZS6.xml,10
data/extra/Fujifilm Finepix S3200.xml,9
data/extra/Fujifilm Finepix S3200_Hosseini.xml,9
data/extra/Nokia Lumia 620_Hosseini.xml,9
data/main/HP Scanjet G2410.xml,8
data/extra/Apple Ipod Touch 5th Generation - 64GB_Hosseini.xml,8
data/extra/Samsung Galaxy Tab 2 7.0 P3100 - 16GB_Hosseini.xml,8
data/extra/Canon Legira HF R205.xml,8
data/extra/Casio Exilim EX-ZS20_Ahmadian.xml,8
data/main/Sony Ericsson Xperia Pureness.xml,7
data/extra/Canon Legria HF R206_Hosseini.xml,7
data/extra/Scanzee BQS030w_Hosseini.xml,7
data/extra/Apple ipod Nano 7th Generation.xml,7
data/extra/Fujitsu Stylistic M532_Hosseini.xml,7
data/extra/Nokia 500_Hosseini.xml,7
data/extra/Canon CanoScan LiDe 100_Hosseini.xml,7
data/main/GoPro HD Hero 960.xml,7
data/main/GoPro HD Helmet Hero.xml,7
data/extra/Panda Antivirus Pro 2013_Hosseini.xml,6
data/extra/Samsung LED 55ES8880_Hosseini.xml,6
data/extra/Samsung ST64.xml,6
data/extra/Samsung ST68_Hosseini.xml,6
data/extra/Motorola Digital Photo Frame MF810.xml,6
data/main/Panda Antivirus Pro 2013.xml,6
data/extra/Nokia Asha 309.xml,6
data/extra/Asus PadFone - 16GB_Hosseini.xml,6
data/extra/Canon Vixia HF M50_Hosseini.xml,5
data/extra/Scanzee BQS020_Ahmadian.xml,5
data/extra/GoPro HD Helmet Hero_Hosseini.xml,5
data/extra/Huawei MediaPad 10 FHD - 16GB_Hosseini.xml,4
data/main/Motorola Digital Photo Frame MF700.xml,4
data/extra/HP Scanjet G2410_Hosseini.xml,4
data/extra/Canon Pixma MG2140.xml,4
data/extra/Canon Vixia HF M500.xml,4
data/extra/Asus Google Nexus 7 3G - 32GB_Hosseini.xml,3
data/extra/HTC One X Plus - 64GB_Hosseini.xml,3
data/extra/Asus PadFone 2 - 64GB.xml,3
data/extra/Sony Xperia Miro.xml,3
data/extra/Sony Xperia Miro_Hosseini.xml,3
data/extra/Creative Zen Style M100 - 4GB.xml,3
data/main/COBY MID7035.xml,3
data/extra/LG C199.xml,2
data/extra/GoPro HD Helmet Hero.xml,2
data/extra/Asus PadFone 2 - 32GB.xml,2
data/main/Sony HDR-XR260.xml,1
data/extra/Samsung ES81.xml,1
data/extra/Sony Cyber-Shot DSC-HX10V_Hosseini.xml,1
data/main/Toshiba Camileo S20.xml,1
data/extra/Fujifilm FinePix F660EXR_Hosseini.xml,1
data/main/Samsung Galaxy Tab 3 7.0 P3200 - 8GB.xml,1
data/main/Samsung WB151F.xml,1
data/main/Sony ICD-TX50 - 4GB.xml,1
data/extra/Canon FaxPhone - JX510P.xml,1
data/extra/Samsung CLP-315.xml,1
