index,sid,text,normalized_text,polarity,file
4037,-,A810 ارزان قیمت ترین دوربین این سری از دوربین های کانن است.,A810 ارزان قیمت ترین دوربین این سری از دوربین های کانن است.,0,data/extra/Canon PowerShot A3400 IS_Hosseini.xml
11,rev-12,A810 ارزان قیمت ترین دوربین این سری از دوربین های کانن است.,A810 ارزان قیمت ترین دوربین این سری از دوربین های کانن است.,0,data/main/Canon PowerShot A3400 IS.xml
3374,-,ASUS همراه سری X یک باتری شش سلولی ارائه کرده است.,ASUS همراه سری X یک باتری شش سلولی ارائه کرده است.,0,data/extra/Asus X43SD_Hosseini.xml
44,rev-45,ASUS همراه سری X یک باتری شش سلولی ارائه کرده است.,ASUS همراه سری X یک باتری شش سلولی ارائه کرده است.,0,data/main/Asus X43SD.xml
13115,-,ASUS یکی از معدود کمپانی‌هایی است که هیچ‌گونه تغییر خاصی در رابط کاربری اندروید ایجاد نکرده است.,ASUS یکی از معدود کمپانی هایی است که هیچ گونه تغییر خاصی در رابط کاربری اندروید ایجاد نکرده است.,0,data/extra/Asus Transformer Pad Infinity TF700T 64GB + Dock_Hosseini.xml
43,rev-44,ASUS یکی از معدود کمپانی‌هایی است که هیچ‌گونه تغییر خاصی در رابط کاربری اندروید ایجاد نکرده است.,ASUS یکی از معدود کمپانی هایی است که هیچ گونه تغییر خاصی در رابط کاربری اندروید ایجاد نکرده است.,0,data/main/Asus Transformer Pad Infinity TF700T 64GB + Dock.xml
8111,-,Android 2.3 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,Android 2.3 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,0,data/extra/Samsung Galaxy S II I9100 - 16GB_Hosseini.xml
44,rev-45,Android 2.3 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,Android 2.3 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,0,data/main/Samsung Galaxy S II I9100 - 16GB.xml
7531,-,Android 4.1 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,Android 4.1 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,0,data/extra/Samsung Galaxy S II Plus I9105 - 8GB_Hosseini.xml
43,rev-44,Android 4.1 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,Android 4.1 کاملا با سیستم عامل iOS شرکت اپل در رقابت است.,0,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml
10962,-,Asha 302 با طراحی زیبای خود،  بسیاری از کاستی‌های خود را پوشش داده است.,Asha 302 با طراحی زیبای خود، بسیاری از کاستی های خود را پوشش داده است.,1,data/extra/Nokia Asha 302_Hosseini.xml
1,rev-2,Asha 302 با طراحی زیبای خود،  بسیاری از کاستی‌های خود را پوشش داده است.,Asha 302 با طراحی زیبای خود، بسیاری از کاستی های خود را پوشش داده است.,1,data/main/Nokia Asha 302.xml
2040,-,Canon LiDE 100 اسکنری سبک وزن و نسبتا جمع و جور می باشد که از یک کابل USB برای تغذیه و نیز انتقال داده ها استفاده می کند.,Canon LiDE 100 اسکنری سبک وزن و نسبتا جمع و جور می باشد که از یک کابل USB برای تغذیه و نیز انتقال داده ها استفاده می کند.,1,data/extra/Canon CanoScan LiDe 100_Hosseini.xml
0,rev-1,Canon LiDE 100 اسکنری سبک وزن و نسبتا جمع و جور می باشد که از یک کابل USB برای تغذیه و نیز انتقال داده ها استفاده می کند.,Canon LiDE 100 اسکنری سبک وزن و نسبتا جمع و جور می باشد که از یک کابل USB برای تغذیه و نیز انتقال داده ها استفاده می کند.,1,data/main/Canon CanoScan LiDe 100.xml
2720,-,DV300F مجهز به سنسور تصویر 16 مگا پیکسلی CCD می‌باشد.,DV300F مجهز به سنسور تصویر 16 مگا پیکسلی CCD می باشد.,0,data/extra/Samsung DV300F_Hosseini.xml
15,rev-16,DV300F مجهز به سنسور تصویر 16 مگا پیکسلی CCD می‌باشد.,DV300F مجهز به سنسور تصویر 16 مگا پیکسلی CCD می باشد.,0,data/main/Samsung DV300F.xml
10928,-,FDR-211 یکی از قدرتمندترین گیرنده‌های فراسو به حساب می‌آید که با تقویت کننده‌ی داخلی و آنتن رومیزی امکان دریافت کانال‌ها را با بهترین کیفیت ممکن به شما می‌دهد.,FDR-211 یکی از قدرتمندترین گیرنده های فراسو به حساب می آید که با تقویت کننده ی داخلی و آنتن رومیزی امکان دریافت کانال ها را با بهترین کیفیت ممکن به شما می دهد.,2,data/extra/Farassoo DVB-T FDR-211_Hosseini.xml
4,rev-5,FDR-211 یکی از قدرتمندترین گیرنده‌های فراسو به حساب می‌آید که با تقویت کننده‌ی داخلی و آنتن رومیزی امکان دریافت کانال‌ها را با بهترین کیفیت ممکن به شما می‌دهد.,FDR-211 یکی از قدرتمندترین گیرنده های فراسو به حساب می آید که با تقویت کننده ی داخلی و آنتن رومیزی امکان دریافت کانال ها را با بهترین کیفیت ممکن به شما می دهد.,2,data/main/Farassoo DVB-T FDR-211.xml
9588,-,G580 در رنگ‌های مختلفی در بازار وجود دارد که برای مثال می‌توان به رنگ‌های مشکی،  قرمز و آبی اشاره کرد.,G580 در رنگ های مختلفی در بازار وجود دارد که برای مثال می توان به رنگ های مشکی، قرمز و آبی اشاره کرد.,0,data/extra/IBM Lenovo Essential G580-J_Hosseini.xml
1,rev-2,G580 در رنگ‌های مختلفی در بازار وجود دارد که برای مثال می‌توان به رنگ‌های مشکی،  قرمز و آبی اشاره کرد.,G580 در رنگ های مختلفی در بازار وجود دارد که برای مثال می توان به رنگ های مشکی، قرمز و آبی اشاره کرد.,0,data/main/IBM Lenovo Essential G580-J.xml
2574,-,GPS می‌تواند به صورت دستی خاموش یا روشن شود و وضعیت آن هم به صورت آیکون کوچکی بر روی نمایشگر به نمایش در می‌آید.,GPS می تواند به صورت دستی خاموش یا روشن شود و وضعیت آن هم به صورت آیکون کوچکی بر روی نمایشگر به نمایش در می آید.,0,data/extra/Sony Cyber-Shot DSC-HX200V_Hosseini.xml
48,rev-49,GPS می‌تواند به صورت دستی خاموش یا روشن شود و وضعیت آن هم به صورت آیکون کوچکی بر روی نمایشگر به نمایش در می‌آید.,GPS می تواند به صورت دستی خاموش یا روشن شود و وضعیت آن هم به صورت آیکون کوچکی بر روی نمایشگر به نمایش در می آید.,0,data/main/Sony Cyber-Shot DSC-HX200V.xml
2572,-,GPS کاری می‌کند که به همراه هر عکسی که می‌گیرید،  اطلاعات مکانی عکس همانند عرض و طول جغرافیایی و نام آن محل به همراه عکس ثبت شود و در ضمن بعدا برای آپلود آن‌ها بر روی مکان‌های خاصی مثل Google Earth و Google Maps راحت‌تر خواهید بود.,GPS کاری می کند که به همراه هر عکسی که می گیرید، اطلاعات مکانی عکس همانند عرض و طول جغرافیایی و نام آن محل به همراه عکس ثبت شود و در ضمن بعدا برای آپلود آن ها بر روی مکان های خاصی مثل Google Earth و Google Maps راحت تر خواهید بود.,1,data/extra/Sony Cyber-Shot DSC-HX200V_Hosseini.xml
46,rev-47,GPS کاری می‌کند که به همراه هر عکسی که می‌گیرید،  اطلاعات مکانی عکس همانند عرض و طول جغرافیایی و نام آن محل به همراه عکس ثبت شود و در ضمن بعدا برای آپلود آن‌ها بر روی مکان‌های خاصی مثل Google Earth و Google Maps راحت‌تر خواهید بود.,GPS کاری می کند که به همراه هر عکسی که می گیرید، اطلاعات مکانی عکس همانند عرض و طول جغرافیایی و نام آن محل به همراه عکس ثبت شود و در ضمن بعدا برای آپلود آن ها بر روی مکان های خاصی مثل Google Earth و Google Maps راحت تر خواهید بود.,1,data/main/Sony Cyber-Shot DSC-HX200V.xml
9946,-,HD R206 می‌تواند با کیفیت 1080p Full HD در فرمت AVCHD و با صدای استریو Dolby Digital فیلم برداری کند.,HD R206 می تواند با کیفیت 1080p Full HD در فرمت AVCHD و با صدای استریو Dolby Digital فیلم برداری کند.,1,data/extra/Canon Legria HF R206_Hosseini.xml
15,rev-16,HD R206 می‌تواند با کیفیت 1080p Full HD در فرمت AVCHD و با صدای استریو Dolby Digital فیلم برداری کند.,HD R206 می تواند با کیفیت 1080p Full HD در فرمت AVCHD و با صدای استریو Dolby Digital فیلم برداری کند.,1,data/main/Canon Legria HF R206.xml
8721,-,HP LaserJet P1102 مدل جدید پرینتر تک رنگ لیزری این شرکت از سری سطح مبتدی است که توانایی ارایه‌ی کیفیت خیلی خوب به همراه سرعت بالا دارد.,HP LaserJet P1102 مدل جدید پرینتر تک رنگ لیزری این شرکت از سری سطح مبتدی است که توانایی ارایه ی کیفیت خیلی خوب به همراه سرعت بالا دارد.,1,data/extra/HP LaserJet P1102_Hosseini.xml
0,rev-1,HP LaserJet P1102 مدل جدید پرینتر تک رنگ لیزری این شرکت از سری سطح مبتدی است که توانایی ارایه‌ی کیفیت خیلی خوب به همراه سرعت بالا دارد.,HP LaserJet P1102 مدل جدید پرینتر تک رنگ لیزری این شرکت از سری سطح مبتدی است که توانایی ارایه ی کیفیت خیلی خوب به همراه سرعت بالا دارد.,1,data/main/HP LaserJet P1102.xml
8734,-,HP ادعا می‌کند که این پرینتر توانایی چاپ 18 صفحه در دقیقه را دارد که برای پرینتر لیزری تک رنگ در این رده خیلی خوب است هرچند که به پای سرعت 30 صفحه در دقیقه P2035 نمی رسد.,HP ادعا می کند که این پرینتر توانایی چاپ 18 صفحه در دقیقه را دارد که برای پرینتر لیزری تک رنگ در این رده خیلی خوب است هرچند که به پای سرعت 30 صفحه در دقیقه P2035 نمی رسد.,-1,data/extra/HP LaserJet P1102_Hosseini.xml
13,rev-14,HP ادعا می‌کند که این پرینتر توانایی چاپ 18 صفحه در دقیقه را دارد که برای پرینتر لیزری تک رنگ در این رده خیلی خوب است هرچند که به پای سرعت 30 صفحه در دقیقه P2035 نمی رسد.,HP ادعا می کند که این پرینتر توانایی چاپ 18 صفحه در دقیقه را دارد که برای پرینتر لیزری تک رنگ در این رده خیلی خوب است هرچند که به پای سرعت 30 صفحه در دقیقه P2035 نمی رسد.,-1,data/main/HP LaserJet P1102.xml
8732,-,HP به همراه این پرینتر درایورهای 32 و 64 بیت برای سازگاری با ویندوز XP،  Vista،  7 و OS X 10.4 را نیز فراهم کرده است.,HP به همراه این پرینتر درایورهای 32 و 64 بیت برای سازگاری با ویندوز XP، Vista، 7 و OS X 10.4 را نیز فراهم کرده است.,1,data/extra/HP LaserJet P1102_Hosseini.xml
11,rev-12,HP به همراه این پرینتر درایورهای 32 و 64 بیت برای سازگاری با ویندوز XP،  Vista،  7 و OS X 10.4 را نیز فراهم کرده است.,HP به همراه این پرینتر درایورهای 32 و 64 بیت برای سازگاری با ویندوز XP، Vista، 7 و OS X 10.4 را نیز فراهم کرده است.,1,data/main/HP LaserJet P1102.xml
2663,-,HP در سال 2009 برای اولین بار لپ‌تاپ‌های بیزینسی ProBook S را معرفی کرد.,HP در سال 2009 برای اولین بار لپ تاپ های بیزینسی ProBook S را معرفی کرد.,0,data/extra/HP ProBook 4540s-A_Hosseini.xml
0,rev-1,HP در سال 2009 برای اولین بار لپ‌تاپ‌های بیزینسی ProBook S را معرفی کرد.,HP در سال 2009 برای اولین بار لپ تاپ های بیزینسی ProBook S را معرفی کرد.,0,data/main/HP_ProBook_4540s-A.xml
3699,-,HTC +X معايب ذيل را دارد : 1- عدم امکان استفاده ار مموري کارت  2- عدم پشتيباني از کابل OTG  3.,HTC +X معایب ذیل را دارد : 1- عدم امکان استفاده ار مموری کارت 2- عدم پشتیبانی از کابل OTG 3.,-1,data/extra/HTC One X Plus - 64GB.xml
0,gr-9-1,"HTC +X معايب ذيل را دارد : 1- عدم امکان استفاده ار مموري کارت  2- عدم پشتيباني از کابل OTG 
3.",HTC +X معایب ذیل را دارد : 1- عدم امکان استفاده ار مموری کارت 2- عدم پشتیبانی از کابل OTG 3.,-1,data/main/HTC One X Plus - 64GB.xml
6439,-,HTC Desire SV  دو سیم کارته است و سیم کارت‌های قرار گرفته بر روی این گوشی می‌توانند باند های مختلف مخابراتی را در شبکه های 2G و 3G پشتیبانی کنند.,HTC Desire SV دو سیم کارته است و سیم کارت های قرار گرفته بر روی این گوشی می توانند باند های مختلف مخابراتی را در شبکه های 2G و 3G پشتیبانی کنند.,0,data/extra/HTC Desire SV_Hosseini.xml
17,rev-18,HTC Desire SV  دو سیم کارته است و سیم کارت‌های قرار گرفته بر روی این گوشی می‌توانند باند های مختلف مخابراتی را در شبکه های 2G و 3G پشتیبانی کنند.,HTC Desire SV دو سیم کارته است و سیم کارت های قرار گرفته بر روی این گوشی می توانند باند های مختلف مخابراتی را در شبکه های 2G و 3G پشتیبانی کنند.,0,data/main/HTC Desire SV.xml
6450,-,HTC Desire SV  قادر است فایل‌های صوتی را با فرمت های معروفی نظیر MP3،  eAAC+،  WMA،  WAV پخش نماید و به دلیل بهره‌گیری از فناوری صوتی Beats Audio می‌توان کیفیت صدای خوبی را از آن توقع داشت.,HTC Desire SV قادر است فایل های صوتی را با فرمت های معروفی نظیر MP3، eAAC+، WMA، WAV پخش نماید و به دلیل بهره گیری از فناوری صوتی Beats Audio می توان کیفیت صدای خوبی را از آن توقع داشت.,1,data/extra/HTC Desire SV_Hosseini.xml
28,rev-29,HTC Desire SV  قادر است فایل‌های صوتی را با فرمت های معروفی نظیر MP3،  eAAC+،  WMA،  WAV پخش نماید و به دلیل بهره‌گیری از فناوری صوتی Beats Audio می‌توان کیفیت صدای خوبی را از آن توقع داشت.,HTC Desire SV قادر است فایل های صوتی را با فرمت های معروفی نظیر MP3، eAAC+، WMA، WAV پخش نماید و به دلیل بهره گیری از فناوری صوتی Beats Audio می توان کیفیت صدای خوبی را از آن توقع داشت.,1,data/main/HTC Desire SV.xml
3437,-,HTC Windows Phone 8X گوشی بسیار قدرتمندیست  که با طراحی زیبا و رنگ‌های جذاب خود و جنس پلی کربناتی بدنه که طبق رسم HTC از بهترین مواد تشکیل شده است،  با معرفی توسط این کمپانی،  توجه بسیاری را به سوی خود جلب نمود.,HTC Windows Phone 8X گوشی بسیار قدرتمندیست که با طراحی زیبا و رنگ های جذاب خود و جنس پلی کربناتی بدنه که طبق رسم HTC از بهترین مواد تشکیل شده است، با معرفی توسط این کمپانی، توجه بسیاری را به سوی خود جلب نمود.,2,data/extra/HTC Windows Phone 8X_Hosseini.xml
57,rev-58,HTC Windows Phone 8X گوشی بسیار قدرتمندیست  که با طراحی زیبا و رنگ‌های جذاب خود و جنس پلی کربناتی بدنه که طبق رسم HTC از بهترین مواد تشکیل شده است،  با معرفی توسط این کمپانی،  توجه بسیاری را به سوی خود جلب نمود.,HTC Windows Phone 8X گوشی بسیار قدرتمندیست که با طراحی زیبا و رنگ های جذاب خود و جنس پلی کربناتی بدنه که طبق رسم HTC از بهترین مواد تشکیل شده است، با معرفی توسط این کمپانی، توجه بسیاری را به سوی خود جلب نمود.,2,data/main/HTC Windows Phone 8X.xml
2582,-,HX100v دوربینی فوق‌العاده پیشرفته و خوب،  و یکی از گران قیمت‌ترین دوربین‌های رده‌ی خود در سال 2011 بود.,HX100v دوربینی فوق العاده پیشرفته و خوب، و یکی از گران قیمت ترین دوربین های رده ی خود در سال 2011 بود.,2,data/extra/Sony Cyber-Shot DSC-HX200V_Hosseini.xml
56,rev-57,HX100v دوربینی فوق‌العاده پیشرفته و خوب،  و یکی از گران قیمت‌ترین دوربین‌های رده‌ی خود در سال 2011 بود.,HX100v دوربینی فوق العاده پیشرفته و خوب، و یکی از گران قیمت ترین دوربین های رده ی خود در سال 2011 بود.,2,data/main/Sony Cyber-Shot DSC-HX200V.xml
2530,-,HX200v را می‌توان با Canon Powershot SX40 HS مقایسه کرد ولی مثلا با Fujifilm Finepix X-S1،  هرچند که ممکن است عملکردهایی نسبتا مشابه را از خود به نمایش بگذارند،  در یک رده قرار نمی‌گیرند.,HX200v را می توان با Canon Powershot SX40 HS مقایسه کرد ولی مثلا با Fujifilm Finepix X-S1، هرچند که ممکن است عملکردهایی نسبتا مشابه را از خود به نمایش بگذارند، در یک رده قرار نمی گیرند.,0,data/extra/Sony Cyber-Shot DSC-HX200V_Hosseini.xml
4,rev-5,HX200v را می‌توان با Canon Powershot SX40 HS مقایسه کرد ولی مثلا با Fujifilm Finepix X-S1،  هرچند که ممکن است عملکردهایی نسبتا مشابه را از خود به نمایش بگذارند،  در یک رده قرار نمی‌گیرند.,HX200v را می توان با Canon Powershot SX40 HS مقایسه کرد ولی مثلا با Fujifilm Finepix X-S1، هرچند که ممکن است عملکردهایی نسبتا مشابه را از خود به نمایش بگذارند، در یک رده قرار نمی گیرند.,0,data/main/Sony Cyber-Shot DSC-HX200V.xml
2578,-,"HX200v مجهز به نمایشگر 3 اینچی 921,000 پیکسلی نیز می‌باشد که کیفیتی بسیار بالا را ارائه می‌دهد و یکی از با کیفیت‌ترین نمایشگرهای موجود بر روی دوربین‌های دیجیتال می‌باشد.","HX200v مجهز به نمایشگر 3 اینچی 921,000 پیکسلی نیز می باشد که کیفیتی بسیار بالا را ارائه می دهد و یکی از با کیفیت ترین نمایشگرهای موجود بر روی دوربین های دیجیتال می باشد.",2,data/extra/Sony Cyber-Shot DSC-HX200V_Hosseini.xml
52,rev-53,"HX200v مجهز به نمایشگر 3 اینچی 921,000 پیکسلی نیز می‌باشد که کیفیتی بسیار بالا را ارائه می‌دهد و یکی از با کیفیت‌ترین نمایشگرهای موجود بر روی دوربین‌های دیجیتال می‌باشد.","HX200v مجهز به نمایشگر 3 اینچی 921,000 پیکسلی نیز می باشد که کیفیتی بسیار بالا را ارائه می دهد و یکی از با کیفیت ترین نمایشگرهای موجود بر روی دوربین های دیجیتال می باشد.",2,data/main/Sony Cyber-Shot DSC-HX200V.xml
1150,-,Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می‌دهد تا بدون احتیاج به یک CD جداگانه برای نصب،  فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.,Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می دهد تا بدون احتیاج به یک CD جداگانه برای نصب، فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.,1,data/extra/HP LaserJet M1132_Hosseini.xml
16,rev-17,Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می‌دهد تا بدون احتیاج به یک CD جداگانه برای نصب،  فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.,Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می دهد تا بدون احتیاج به یک CD جداگانه برای نصب، فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.,1,data/main/HP LaserJet M1132.xml
3268,-,IXUS نامي هست که در اروپا فروش ميره و خيلي از زبان ها رو داره .,IXUS نامی هست که در اروپا فروش میره و خیلی از زبان ها رو داره .,0,data/extra/(Canon IXUS 240 HS (PowerShot ELPH 320 HS_Hosseini.xml
1,gr-1-2,IXUS نامي هست که در اروپا فروش ميره و خيلي از زبان ها رو داره .,IXUS نامی هست که در اروپا فروش میره و خیلی از زبان ها رو داره .,0,data/main/(Canon IXUS 240 HS (PowerShot ELPH 320 HS.xml
3270,-,IXY فقط زبان ژاپني و انگليسي داره  .,IXY فقط زبان ژاپنی و انگلیسی داره .,0,data/extra/(Canon IXUS 240 HS (PowerShot ELPH 320 HS_Hosseini.xml
3,gr-1-4,IXY فقط زبان ژاپني و انگليسي داره  .,IXY فقط زبان ژاپنی و انگلیسی داره .,0,data/main/(Canon IXUS 240 HS (PowerShot ELPH 320 HS.xml
13112,-,Infinity در دو مدل 32 و 64 گیگابایتی عرضه شده است و امکان ارتقا حافظه آن از طریق درگاه کارت حافظه microSD تا 32 گیگابایت دیگر نیز وجود دارد.,Infinity در دو مدل 32 و 64 گیگابایتی عرضه شده است و امکان ارتقا حافظه آن از طریق درگاه کارت حافظه microSD تا 32 گیگابایت دیگر نیز وجود دارد.,0,data/extra/Asus Transformer Pad Infinity TF700T 64GB + Dock_Hosseini.xml
40,rev-41,Infinity در دو مدل 32 و 64 گیگابایتی عرضه شده است و امکان ارتقا حافظه آن از طریق درگاه کارت حافظه microSD تا 32 گیگابایت دیگر نیز وجود دارد.,Infinity در دو مدل 32 و 64 گیگابایتی عرضه شده است و امکان ارتقا حافظه آن از طریق درگاه کارت حافظه microSD تا 32 گیگابایت دیگر نیز وجود دارد.,0,data/main/Asus Transformer Pad Infinity TF700T 64GB + Dock.xml
7193,-,Ion اولین گوشی خانواده Xperia است که از پردازنده دو هسته ای بهره می برد.,Ion اولین گوشی خانواده Xperia است که از پردازنده دو هسته ای بهره می برد.,0,data/extra/Sony Xperia Ion_Hosseini.xml
15,rev-16,Ion اولین گوشی خانواده Xperia است که از پردازنده دو هسته ای بهره می برد.,Ion اولین گوشی خانواده Xperia است که از پردازنده دو هسته ای بهره می برد.,0,data/main/Sony Xperia Ion.xml
