index,sid,text,normalized_text,polarity,file
0,gr-21-1,احتمالا سامسونگ علاقه زيادي داره که زير مجموعه اپل بشه اين از پشت و بقل دقيقا ميشه همون آي پد واقعا بايد به طراح اين دستگاه جايزه نوبل داد!,احتمالا سامسونگ علاقه زیادی داره که زیر مجموعه اپل بشه این از پشت و بقل دقیقا میشه همون آی پد واقعا باید به طراح این دستگاه جایزه نوبل داد!,0,data/main/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml
11335,-,احتمالا سامسونگ علاقه زيادي داره که زير مجموعه اپل بشه اين از پشت و بقل دقيقا ميشه همون آي پد واقعا بايد به طراح اين دستگاه جايزه نوبل داد!,احتمالا سامسونگ علاقه زیادی داره که زیر مجموعه اپل بشه این از پشت و بقل دقیقا میشه همون آی پد واقعا باید به طراح این دستگاه جایزه نوبل داد!,1,data/extra/Samsung Galaxy Tab 2 10.1 P5100 - 16GB.xml
4,gr-11-5,احتمالا من اولين مشتريش باشم،  چون خريد از بازار علاوه بر وجود قيمت هاي غير واقعي احتمال دستکاري تو جعبه رو داره.,احتمالا من اولین مشتریش باشم، چون خرید از بازار علاوه بر وجود قیمت های غیر واقعی احتمال دستکاری تو جعبه رو داره.,-1,data/main/HTC One X Plus - 64GB.xml
3711,-,احتمالا من اولين مشتريش باشم،  چون خريد از بازار علاوه بر وجود قيمت هاي غير واقعي احتمال دستکاري تو جعبه رو داره.,احتمالا من اولین مشتریش باشم، چون خرید از بازار علاوه بر وجود قیمت های غیر واقعی احتمال دستکاری تو جعبه رو داره.,1,data/extra/HTC One X Plus - 64GB.xml
25,rev-26,از نظر پورت‌ها و اتصالات،  N43SM در سطحی متوسط است و تنها پورت خیلی عالی و غیر منتظره‌ای که بر روی آن می‌بینیم پورت USB 3.0 است.,از نظر پورت ها و اتصالات، N43SM در سطحی متوسط است و تنها پورت خیلی عالی و غیر منتظره ای که بر روی آن می بینیم پورت USB 3.0 است.,1,data/main/Asus N43SM-C.xml
11552,-,از نظر پورت‌ها و اتصالات،  N43SM در سطحی متوسط است و تنها پورت خیلی عالی و غیر منتظره‌ای که بر روی آن می‌بینیم پورت USB 3.0 است.,از نظر پورت ها و اتصالات، N43SM در سطحی متوسط است و تنها پورت خیلی عالی و غیر منتظره ای که بر روی آن می بینیم پورت USB 3.0 است.,2,data/extra/Asus N43SM-C_Hosseini.xml
7541,-,از نظر کیفیت عکس‌های گرفته شده،  دوربین این گوشی یکی از بهترین دوربین‌هایی است که بر روی گوشی‌های تلفن همراه مشاهده کرده‌ایم.,از نظر کیفیت عکس های گرفته شده، دوربین این گوشی یکی از بهترین دوربین هایی است که بر روی گوشی های تلفن همراه مشاهده کرده ایم.,1,data/extra/Samsung Galaxy S II Plus I9105 - 8GB_Hosseini.xml
53,rev-54,از نظر کیفیت عکس‌های گرفته شده،  دوربین این گوشی یکی از بهترین دوربین‌هایی است که بر روی گوشی‌های تلفن همراه مشاهده کرده‌ایم.,از نظر کیفیت عکس های گرفته شده، دوربین این گوشی یکی از بهترین دوربین هایی است که بر روی گوشی های تلفن همراه مشاهده کرده ایم.,1,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml
8137,-,از نظر کیفیت عکس های گرفته شده، دوربین این گوشی یکی از بهترین دوربین‌هایی است که بر روی گوشی های تلفن همراه مشاهده کرده ایم.,از نظر کیفیت عکس های گرفته شده، دوربین این گوشی یکی از بهترین دوربین هایی است که بر روی گوشی های تلفن همراه مشاهده کرده ایم.,2,data/extra/Samsung Galaxy S II I9100 - 16GB_Hosseini.xml
70,rev-71,از نظر کیفیت عکس های گرفته شده، دوربین این گوشی یکی از بهترین دوربین‌هایی است که بر روی گوشی های تلفن همراه مشاهده کرده ایم.,از نظر کیفیت عکس های گرفته شده، دوربین این گوشی یکی از بهترین دوربین هایی است که بر روی گوشی های تلفن همراه مشاهده کرده ایم.,2,data/main/Samsung Galaxy S II I9100 - 16GB.xml
3709,-,اصلا از سامسونگ خوشم نمياد.,اصلا از سامسونگ خوشم نمیاد.,-2,data/extra/HTC One X Plus - 64GB.xml
2,gr-11-3,اصلا از سامسونگ خوشم نمياد.,اصلا از سامسونگ خوشم نمیاد.,-1,data/main/HTC One X Plus - 64GB.xml
1,gr-6-2,البته Sony Cyber-Shot DSC-HX10V موقعيت ياب و GPS هم داره که زياد کاربردي نيست .,البته Sony Cyber-Shot DSC-HX10V موقعیت یاب و GPS هم داره که زیاد کاربردی نیست .,-1,data/main/Sony Cyber-Shot DSC-HX10V.xml
11396,-,البته Sony Cyber-Shot DSC-HX10V موقعيت ياب و GPS هم داره که زياد کاربردي نيست .,البته Sony Cyber-Shot DSC-HX10V موقعیت یاب و GPS هم داره که زیاد کاربردی نیست .,1,data/extra/Sony Cyber-Shot DSC-HX10V.xml
1325,-,البته منصفانه باید بگوییم برای کسانی که قبلا از iPhone 4S استفاده می‌کردند خرید iPhone 5 چندان هوشمندانه نیست،  چرا که تغییر و تحول زیادی نداشته است،  اما برای بقیه افراد می‌تواند یک تنوع بسیار جذاب محسوب گردد.,البته منصفانه باید بگوییم برای کسانی که قبلا از iPhone 4S استفاده می کردند خرید iPhone 5 چندان هوشمندانه نیست، چرا که تغییر و تحول زیادی نداشته است، اما برای بقیه افراد می تواند یک تنوع بسیار جذاب محسوب گردد.,0,data/extra/Apple iPhone 5 - 16GB_Hosseini.xml
127,rev-128,البته منصفانه باید بگوییم برای کسانی که قبلا از iPhone 4S استفاده می‌کردند خرید iPhone 5 چندان هوشمندانه نیست،  چرا که تغییر و تحول زیادی نداشته است،  اما برای بقیه افراد می‌تواند یک تنوع بسیار جذاب محسوب گردد.,البته منصفانه باید بگوییم برای کسانی که قبلا از iPhone 4S استفاده می کردند خرید iPhone 5 چندان هوشمندانه نیست، چرا که تغییر و تحول زیادی نداشته است، اما برای بقیه افراد می تواند یک تنوع بسیار جذاب محسوب گردد.,0,data/main/Apple iPhone 5 - 16GB.xml
6852,-,البته منصفانه باید بگوییم برای کسانی که قبلا از iPhone 4S استفاده می‌کردند خرید iPhone 5 چندان هوشمندانه نیست، چرا که تغییر و تحول زیادی نداشته است، اما برای بقیه افراد می‌تواند یک تنوع بسیار جذاب محسوب گردد.,البته منصفانه باید بگوییم برای کسانی که قبلا از iPhone 4S استفاده می کردند خرید iPhone 5 چندان هوشمندانه نیست، چرا که تغییر و تحول زیادی نداشته است، اما برای بقیه افراد می تواند یک تنوع بسیار جذاب محسوب گردد.,1,data/extra/Apple iPhone 5 - 64GB.xml
85,rev-86,اما با اینکه شکل کلی iOS تغییری نداشته است،  ولی به گفته کمپانی اپل،  هیچ برنامه ای نیست که در نسخه جدید iOS بهتر نشده باشد.,اما با اینکه شکل کلی iOS تغییری نداشته است، ولی به گفته کمپانی اپل، هیچ برنامه ای نیست که در نسخه جدید iOS بهتر نشده باشد.,0,data/main/Apple iPhone 5 - 16GB.xml
3117,-,اما با اینکه شکل کلی iOS تغییری نداشته است، ولی به گفته کمپانی اپل، هیچ برنامه ای نیست که در نسخه جدید iOS بهتر نشده باشد.,اما با اینکه شکل کلی iOS تغییری نداشته است، ولی به گفته کمپانی اپل، هیچ برنامه ای نیست که در نسخه جدید iOS بهتر نشده باشد.,1,data/extra/Apple iPad mini WiFi-16GB.xml
1237,-,اما جالب است که با اینکه این صفحه نمایش نسبت به مدل قبلی بزرگ‌تر شده،  تراکم پیکسلی آن کاهش نیافته و کماکان 326ppi می‌باشد تا دقت آن کماکان رتینا باقی بماند.,اما جالب است که با اینکه این صفحه نمایش نسبت به مدل قبلی بزرگ تر شده، تراکم پیکسلی آن کاهش نیافته و کماکان 326ppi می باشد تا دقت آن کماکان رتینا باقی بماند.,0,data/extra/Apple iPhone 5 - 16GB_Hosseini.xml
39,rev-40,اما جالب است که با اینکه این صفحه نمایش نسبت به مدل قبلی بزرگ‌تر شده،  تراکم پیکسلی آن کاهش نیافته و کماکان 326ppi می‌باشد تا دقت آن کماکان رتینا باقی بماند.,اما جالب است که با اینکه این صفحه نمایش نسبت به مدل قبلی بزرگ تر شده، تراکم پیکسلی آن کاهش نیافته و کماکان 326ppi می باشد تا دقت آن کماکان رتینا باقی بماند.,0,data/main/Apple iPhone 5 - 16GB.xml
6764,-,اما جالب است که با اینکه این صفحه نمایش نسبت به مدل قبلی بزرگ‌تر شده، تراکم پیکسلی آن کاهش نیافته و کماکان 326ppi می‌باشد تا دقت آن کماکان رتینا باقی بماند.,اما جالب است که با اینکه این صفحه نمایش نسبت به مدل قبلی بزرگ تر شده، تراکم پیکسلی آن کاهش نیافته و کماکان 326ppi می باشد تا دقت آن کماکان رتینا باقی بماند.,1,data/extra/Apple iPhone 5 - 64GB.xml
7034,-,اما در مورد دوربین اصلی دستگاه باید بگوییم که کیفیت عکس‌های قابل قبولی را ارائه می‌دهد و حتی در مقایسه با دیگر دوربین‌های 5 مگاپیکسلی به کار رفته در گوشی‌های هوشمند و تبلت ها نیز عملکرد مناسب‌تری را از آن شاهد بودیم که می‌توان آن‌را در بین برترین دوربین‌های قرار گرفته بر روی تبلت ها دانست.,اما در مورد دوربین اصلی دستگاه باید بگوییم که کیفیت عکس های قابل قبولی را ارائه می دهد و حتی در مقایسه با دیگر دوربین های 5 مگاپیکسلی به کار رفته در گوشی های هوشمند و تبلت ها نیز عملکرد مناسب تری را از آن شاهد بودیم که می توان آن را در بین برترین دوربین های قرار گرفته بر روی تبلت ها دانست.,1,data/extra/Samsung Galaxy Note N5100 - 16GB_Hosseini.xml
77,rev-78,اما در مورد دوربین اصلی دستگاه باید بگوییم که کیفیت عکس‌های قابل قبولی را ارائه می‌دهد و حتی در مقایسه با دیگر دوربین‌های 5 مگاپیکسلی به کار رفته در گوشی‌های هوشمند و تبلت ها نیز عملکرد مناسب‌تری را از آن شاهد بودیم که می‌توان آن‌را در بین برترین دوربین‌های قرار گرفته بر روی تبلت ها دانست.,اما در مورد دوربین اصلی دستگاه باید بگوییم که کیفیت عکس های قابل قبولی را ارائه می دهد و حتی در مقایسه با دیگر دوربین های 5 مگاپیکسلی به کار رفته در گوشی های هوشمند و تبلت ها نیز عملکرد مناسب تری را از آن شاهد بودیم که می توان آن را در بین برترین دوربین های قرار گرفته بر روی تبلت ها دانست.,1,data/main/Samsung Galaxy Note N5100 - 16GB.xml
9499,-,اما در مورد دوربین اصلی دستگاه باید بگوییم که کیفیت عکس‌های قابل قبولی را ارائه می‌دهد و حتی در مقایسه با دیگر دوربین‌های 5 مگاپیکسلی به کار رفته در گوشی‌های هوشمند و تبلت ها نیز عملکرد مناسب‌تری را از آن شاهد بودیم که می‌توان آن را در بین برترین دوربین‌های قرار گرفته بر روی تبلت ها دانست.,اما در مورد دوربین اصلی دستگاه باید بگوییم که کیفیت عکس های قابل قبولی را ارائه می دهد و حتی در مقایسه با دیگر دوربین های 5 مگاپیکسلی به کار رفته در گوشی های هوشمند و تبلت ها نیز عملکرد مناسب تری را از آن شاهد بودیم که می توان آن را در بین برترین دوربین های قرار گرفته بر روی تبلت ها دانست.,2,data/extra/Samsung Galaxy Note 10.1 N8000 - 16GB.xml
6995,-,اما شگفتی‌های این قلم به همین‌جا خلاصه نمی‌شود.,اما شگفتی های این قلم به همین جا خلاصه نمی شود.,0,data/extra/Samsung Galaxy Note N5100 - 16GB_Hosseini.xml
38,rev-39,اما شگفتی‌های این قلم به همین‌جا خلاصه نمی‌شود.,اما شگفتی های این قلم به همین جا خلاصه نمی شود.,0,data/main/Samsung Galaxy Note N5100 - 16GB.xml
9465,-,اما شگفتی‌های این قلم به همین جا خلاصه نمی‌شود.,اما شگفتی های این قلم به همین جا خلاصه نمی شود.,1,data/extra/Samsung Galaxy Note 10.1 N8000 - 16GB.xml
3131,-,اما لازم به ذکر است که مشکلات برنامه، مربوط به تمامی شهرها نمی‌شود و بیشتر در شهر های کوچک وجود دارد.,اما لازم به ذکر است که مشکلات برنامه، مربوط به تمامی شهرها نمی شود و بیشتر در شهر های کوچک وجود دارد.,-1,data/extra/Apple iPad mini WiFi-16GB.xml
99,rev-100,اما لازم به ذکر است که مشکلات برنامه،  مربوط به تمامی شهرها نمی‌شود و بیشتر در شهر های کوچک وجود دارد.,اما لازم به ذکر است که مشکلات برنامه، مربوط به تمامی شهرها نمی شود و بیشتر در شهر های کوچک وجود دارد.,0,data/main/Apple iPhone 5 - 16GB.xml
6789,-,اما مهم‌تر از تست‌های جاوا، تست‌های گرافیکی هستند که نتایج جالبی را به ما ارائه نمودند.,اما مهم تر از تست های جاوا، تست های گرافیکی هستند که نتایج جالبی را به ما ارائه نمودند.,0,data/extra/Apple iPhone 5 - 64GB.xml
1262,-,اما مهم‌تر از تست‌های جاوا،  تست‌های گرافیکی هستند که نتایج جالبی را به ما ارائه نمودند.,اما مهم تر از تست های جاوا، تست های گرافیکی هستند که نتایج جالبی را به ما ارائه نمودند.,1,data/extra/Apple iPhone 5 - 16GB_Hosseini.xml
64,rev-65,اما مهم‌تر از تست‌های جاوا،  تست‌های گرافیکی هستند که نتایج جالبی را به ما ارائه نمودند.,اما مهم تر از تست های جاوا، تست های گرافیکی هستند که نتایج جالبی را به ما ارائه نمودند.,1,data/main/Apple iPhone 5 - 16GB.xml
3,gr-11-4,اميدوارم ديجي کالا به زودي اين گوشي رو بياره.,امیدوارم دیجی کالا به زودی این گوشی رو بیاره.,0,data/main/HTC One X Plus - 64GB.xml
3710,-,اميدوارم ديجي کالا به زودي اين گوشي رو بياره.,امیدوارم دیجی کالا به زودی این گوشی رو بیاره.,1,data/extra/HTC One X Plus - 64GB.xml
3,gr-7-4,"انصافا گوشي غوليههههههه
",انصافا گوشی غولیههههههه,1,data/main/HTC One X Plus - 64GB.xml
3697,-,انصافا گوشي غوليههههههه,انصافا گوشی غولیههههههه,2,data/extra/HTC One X Plus - 64GB.xml
1,gr-19-2,انگار همون مدلاي قبله يه ذره خوشگلش کردن و بهش رسيدن .,انگار همون مدلای قبله یه ذره خوشگلش کردن و بهش رسیدن .,0,data/main/Nokia 500.xml
8645,-,انگار همون مدلاي قبله يه ذره خوشگلش کردن و بهش رسيدن .,انگار همون مدلای قبله یه ذره خوشگلش کردن و بهش رسیدن .,1,data/extra/Nokia 500.xml
2,gr-10-3,اونم با اين همه طرفدار و مشتاق,اونم با این همه طرفدار و مشتاق,0,data/main/HTC One X Plus - 64GB.xml
3706,-,اونم با اين همه طرفدار و مشتاق,اونم با این همه طرفدار و مشتاق,1,data/extra/HTC One X Plus - 64GB.xml
5,gr-1-6,اونم بعد از چند روز بهش عادت ميکني.,اونم بعد از چند روز بهش عادت میکنی.,0,data/main/Sony Cyber-Shot DSC-HX10V.xml
11381,-,اونم بعد از چند روز بهش عادت ميکني.,اونم بعد از چند روز بهش عادت میکنی.,1,data/extra/Sony Cyber-Shot DSC-HX10V.xml
9073,-,اپل در نسل جدید iPod Touch نیز،  همانند گوشی iPhone 5،  به جای استفاده از درگاه 30 پینی قدیمی، از درگاه 8 پینی Lightning یا آذرخش استفاده کرده که باعث شده تا ضخامت iPod Touch نیز همانند iPhone 5 بسیار باریک گردد.,اپل در نسل جدید iPod Touch نیز، همانند گوشی iPhone 5، به جای استفاده از درگاه 30 پینی قدیمی، از درگاه 8 پینی Lightning یا آذرخش استفاده کرده که باعث شده تا ضخامت iPod Touch نیز همانند iPhone 5 بسیار باریک گردد.,0,data/extra/Apple Ipod Touch 5th Generation - 64GB.xml
2002,-,اپل در نسل جدید iPod Touch نیز،  همانند گوشی iPhone 5،  به جای استفاده از درگاه 30 پینی قدیمی،  از درگاه 8 پینی Lightning یا آذرخش استفاده کرده که باعث شده تا ضخامت iPod Touch نیز همانند iPhone 5 بسیار باریک گردد.,اپل در نسل جدید iPod Touch نیز، همانند گوشی iPhone 5، به جای استفاده از درگاه 30 پینی قدیمی، از درگاه 8 پینی Lightning یا آذرخش استفاده کرده که باعث شده تا ضخامت iPod Touch نیز همانند iPhone 5 بسیار باریک گردد.,1,data/extra/Apple Ipod Touch 5th Generation - 64GB_Hosseini.xml
9,rev-10,اپل در نسل جدید iPod Touch نیز،  همانند گوشی iPhone 5،  به جای استفاده از درگاه 30 پینی قدیمی،  از درگاه 8 پینی Lightning یا آذرخش استفاده کرده که باعث شده تا ضخامت iPod Touch نیز همانند iPhone 5 بسیار باریک گردد.,اپل در نسل جدید iPod Touch نیز، همانند گوشی iPhone 5، به جای استفاده از درگاه 30 پینی قدیمی، از درگاه 8 پینی Lightning یا آذرخش استفاده کرده که باعث شده تا ضخامت iPod Touch نیز همانند iPhone 5 بسیار باریک گردد.,1,data/main/Apple Ipod Touch 5th Generation - 64GB.xml
0,gr-2-1,اپل هميشه عالي بوده،  ولي نسبت به قيمتش نمي ارزه,اپل همیشه عالی بوده، ولی نسبت به قیمتش نمی ارزه,-1,data/main/Apple MacBook Pro With Retina Display-B.xml
2905,-,اپل هميشه عالي بوده،  ولي نسبت به قيمتش نمي ارزه,اپل همیشه عالی بوده، ولی نسبت به قیمتش نمی ارزه,0,data/extra/Apple MacBook Pro With Retina Display-B.xml
6146,-,اگر چه که سايت ديجي کالا اين نقاط ضعف رو ذکر کرده اما با يک نگاه هم متوجه ضعيف بودن کيفيت نمايش اون خواهيد شد .,اگر چه که سایت دیجی کالا این نقاط ضعف رو ذکر کرده اما با یک نگاه هم متوجه ضعیف بودن کیفیت نمایش اون خواهید شد .,-2,data/extra/Fujitsu Stylistic M532.xml
4,gr-11-5,اگر چه که سايت ديجي کالا اين نقاط ضعف رو ذکر کرده اما با يک نگاه هم متوجه ضعيف بودن کيفيت نمايش اون خواهيد شد .,اگر چه که سایت دیجی کالا این نقاط ضعف رو ذکر کرده اما با یک نگاه هم متوجه ضعیف بودن کیفیت نمایش اون خواهید شد .,-1,data/main/Fujitsu Stylistic M532.xml
3689,-,اگه از اين 2 مورد چشم پوشي کنيم بايد گفت گوشي فوق العاده عالي هست!,اگه از این 2 مورد چشم پوشی کنیم باید گفت گوشی فوق العاده عالی هست!,1,data/extra/HTC One X Plus - 64GB.xml
1,gr-3-2,اگه از اين 2 مورد چشم پوشي کنيم بايد گفت گوشي فوق العاده عالي هست!,اگه از این 2 مورد چشم پوشی کنیم باید گفت گوشی فوق العاده عالی هست!,2,data/main/HTC One X Plus - 64GB.xml
3713,-,اگه باطريش خيلي خوب کار کنه  حرف نداره,اگه باطریش خیلی خوب کار کنه حرف نداره,0,data/extra/HTC One X Plus - 64GB.xml
0,gr-13-1,اگه باطريش خيلي خوب کار کنه  حرف نداره,اگه باطریش خیلی خوب کار کنه حرف نداره,1,data/main/HTC One X Plus - 64GB.xml
0,gr-3-1,اگه تراکم صفحه تبلتش هم بالا بود تو خريدش شک نميکردم ولي حالا اگه گوشيش به صورت جدا فروخته بشه ميخرم، واقعا سخت افزارش غوله !,اگه تراکم صفحه تبلتش هم بالا بود تو خریدش شک نمیکردم ولی حالا اگه گوشیش به صورت جدا فروخته بشه میخرم، واقعا سخت افزارش غوله !,0,data/main/Asus PadFone 2 - 16GB.xml
4359,-,اگه تراکم صفحه تبلتش هم بالا بود تو خريدش شک نميکردم ولي حالا اگه گوشيش به صورت جدا فروخته بشه ميخرم، واقعا سخت افزارش غوله !,اگه تراکم صفحه تبلتش هم بالا بود تو خریدش شک نمیکردم ولی حالا اگه گوشیش به صورت جدا فروخته بشه میخرم، واقعا سخت افزارش غوله !,2,data/extra/Asus PadFone 2 - 16GB.xml
2156,-,اگه پول دستم بياد حتما ميخرمش .,اگه پول دستم بیاد حتما میخرمش .,0,data/extra/Nokia Lumia 620.xml
0,gr-2-1,اگه پول دستم بياد حتما ميخرمش .,اگه پول دستم بیاد حتما میخرمش .,1,data/main/Nokia Lumia 620.xml
6099,-,این بسیار عالیست و باعث می شود که همانند دیگر مدل های اخیر G پاناسونیک، این دوربین هم جزو بهترین گزینه ها برای فیلم برداری قرار گیرد.,این بسیار عالیست و باعث می شود که همانند دیگر مدل های اخیر G پاناسونیک، این دوربین هم جزو بهترین گزینه ها برای فیلم برداری قرار گیرد.,1,data/extra/Panasonic Lumix DMC-G6_Hosseini.xml
26,rev-27,این بسیار عالیست و باعث می شود که همانند دیگر مدل های اخیر G پاناسونیک، این دوربین هم جزو بهترین گزینه ها برای فیلم برداری قرار گیرد.,این بسیار عالیست و باعث می شود که همانند دیگر مدل های اخیر G پاناسونیک، این دوربین هم جزو بهترین گزینه ها برای فیلم برداری قرار گیرد.,2,data/main/Panasonic Lumix DMC-G6.xml
10007,-,این حالت زمانی به کار می‌آید که بخواهید از جسمی که به سرعت در حال حرکت است، عکس بگیرید.,این حالت زمانی به کار می آید که بخواهید از جسمی که به سرعت در حال حرکت است، عکس بگیرید.,0,data/extra/Samsung Galaxy S III I9305 - 16GB_Hosseini.xml
44,rev-45,این حالت زمانی به کار می‌آید که بخواهید از جسمی که به سرعت در حال حرکت است، عکس بگیرید.,این حالت زمانی به کار می آید که بخواهید از جسمی که به سرعت در حال حرکت است، عکس بگیرید.,0,data/main/Samsung Galaxy S III I9305 - 16GB.xml
8290,-,این حالت زمانی به کار می‌آید که بخواهید از جسمی که به سرعت در حال حرکت است،  عکس بگیرید.,این حالت زمانی به کار می آید که بخواهید از جسمی که به سرعت در حال حرکت است، عکس بگیرید.,1,data/extra/Samsung Galaxy S III I9305 - 16GB.xml
6093,-,این دوربین از همان سنسور تصویر 16 مگاپیکسلی بهره می برد که پیش تر بر روی GH2 نیز استفاده شده بود.,این دوربین از همان سنسور تصویر 16 مگاپیکسلی بهره می برد که پیش تر بر روی GH2 نیز استفاده شده بود.,0,data/extra/Panasonic Lumix DMC-G6_Hosseini.xml
20,rev-21,این دوربین از همان سنسور تصویر 16 مگاپیکسلی بهره می برد که پیش تر بر روی GH2 نیز استفاده شده بود.,این دوربین از همان سنسور تصویر 16 مگاپیکسلی بهره می برد که پیش تر بر روی GH2 نیز استفاده شده بود.,1,data/main/Panasonic Lumix DMC-G6.xml
11412,-,اين دوربين رو من از هين سايت خريدم و ميخوام بگم فوق العاده است تنها فرق اين گوشي با مدل hx20v زومشون هست و همينطور hx30v نسبت به 2 مدل قبلي خودش فقط امکان wifi بهش اضافه شده وگرنه اين 3 مدل هيچ فرقي با هم ندارن و فقط بحث سر زومشون هست.,این دوربین رو من از هین سایت خریدم و میخوام بگم فوق العاده است تنها فرق این گوشی با مدل hx20v زومشون هست و همینطور hx30v نسبت به 2 مدل قبلی خودش فقط امکان wifi بهش اضافه شده وگرنه این 3 مدل هیچ فرقی با هم ندارن و فقط بحث سر زومشون هست.,1,data/extra/Sony Cyber-Shot DSC-HX10V.xml
0,gr-14-1,"اين دوربين رو من از هين سايت خريدم و ميخوام بگم فوق العاده است
تنها فرق اين گوشي با مدل hx20v زومشون هست و همينطور hx30v نسبت به 2 مدل قبلي خودش فقط امکان wifi بهش اضافه شده وگرنه اين 3 مدل هيچ فرقي با هم ندارن و فقط بحث سر زومشون هست.",این دوربین رو من از هین سایت خریدم و میخوام بگم فوق العاده است تنها فرق این گوشی با مدل hx20v زومشون هست و همینطور hx30v نسبت به 2 مدل قبلی خودش فقط امکان wifi بهش اضافه شده وگرنه این 3 مدل هیچ فرقی با هم ندارن و فقط بحث سر زومشون هست.,2,data/main/Sony Cyber-Shot DSC-HX10V.xml
2,gr-7-3,اين دوربين نسبت به HX-100 هيچ چي کم نداره که از اون خيلي هم جمع و جورتره.,این دوربین نسبت به HX-100 هیچ چی کم نداره که از اون خیلی هم جمع و جورتره.,1,data/main/Sony Cyber-Shot DSC-HX10V.xml
11399,-,اين دوربين نسبت به HX-100 هيچ چي کم نداره که از اون خيلي هم جمع و جورتره.,این دوربین نسبت به HX-100 هیچ چی کم نداره که از اون خیلی هم جمع و جورتره.,2,data/extra/Sony Cyber-Shot DSC-HX10V.xml
0,gr-2-1,اين دوربين واقعا عکس هاي با کيفيتي ميگيره.,این دوربین واقعا عکس های با کیفیتی میگیره.,1,data/main/Sony Cyber-Shot DSC-HX10V.xml
